Type;Class;Variable1;Variable2;Frequency;Frequency_Difference
U;0;(Weather_Condition, Rain);(Station, True);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, 'Scattered Clouds');0.000;;
U;0;(Wind_Direction, W);(Weather_Condition, Thunder);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, Snow);0.000;;
U;0;(Street, Interstate);(Station, True);0.000;;
U;0;(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, Thunder);0.000;;
U;0;(Weather_Condition, 'Small Hail');(Junction, False);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Thunder);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Wind_Direction, unknown);(Junction, True);0.000;;
U;0;(Wind_Direction, SE);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Street, large_local);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, Thunderstorm);0.000;;
U;0;(Weather_Condition, Thunderstorms);(Crossing, True);0.000;;
U;0;(Weather_Condition, 'Scattered Clouds');(Traffic_Calming, True);0.000;;
U;0;(Street, Highway);(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Wind_Direction, SE);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;0;(Weather_Condition, Haze);(Stop, True);0.000;;
U;0;(Street, Beltway);(Traffic_Signal, True);0.000;;
U;0;(Street, local);(Weather_Condition, Sleet);0.000;;
U;0;(Weather_Condition, Sleet);(Sunrise_Sunset, Night);0.000;;
U;0;(Wind_Direction, Variable);(Railway, True);0.000;;
U;0;(Wind_Direction, Calm);(Weather_Condition, Thunder);0.000;;
U;0;(Wind_Direction, unknown);(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, unknown);(Weather_Condition, Drizzle);0.000;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Thunderstorm);0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Wind_Direction, Calm);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Street, Beltway);(Weather_Condition, unknown);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Street, large_local);(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Weather_Condition, 'Heavy Rain');(Crossing, True);0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, unknown);0.000;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Small Hail');0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, 'Small Hail');0.000;;
U;0;(Weather_Condition, Thunderstorm);(Sunrise_Sunset, Night);0.000;;
U;0;(Pressure(in), '\'(30.055-inf)\'');(Weather_Condition, Thunderstorm);0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Weather_Condition, Drizzle);(Railway, True);0.000;;
U;0;(Amenity, True);(Traffic_Calming, True);0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, Thunder);0.000;;
U;0;(Wind_Direction, unknown);(Weather_Condition, Fog);0.000;;
U;0;(Amenity, True);(Junction, True);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Snow);0.000;;
U;0;(Weather_Condition, Windy);(Railway, True);0.000;;
U;0;(Weather_Condition, Thunderstorms);(Railway, True);0.000;;
U;0;(Weather_Condition, 'Snow and Sleet');(Junction, True);0.000;;
U;0;(Wind_Direction, NE);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Weather_Condition, Windy);(Station, True);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Rain);0.000;;
U;0;(Street, local);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Sleet);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Wind_Direction, unknown);(Stop, True);0.000;;
U;0;(Railway, True);(Traffic_Calming, True);0.000;;
U;0;(Street, local);(Weather_Condition, 'Small Hail');0.000;;
U;0;(Wind_Direction, W);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Street, Tunnel);(Weather_Condition, 'Heavy Rain');0.000;;
U;0;(Weather_Condition, 'Snow and Sleet');(Crossing, True);0.000;;
U;0;(Weather_Condition, 'Snow and Sleet');(Railway, True);0.000;;
U;0;(Street, local);(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Street, large_local);(Weather_Condition, Sleet);0.000;;
U;0;(Weather_Condition, Haze);(Railway, True);0.000;;
U;0;(Weather_Condition, Windy);(Amenity, True);0.000;;
U;0;(Weather_Condition, 'Wintry Mix');(Stop, True);0.000;;
U;0;(Street, large_local);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Weather_Condition, 'Wintry Mix');(Railway, True);0.000;;
U;0;(Weather_Condition, 'Wintry Mix');(Station, True);0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, unknown);0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Wind_Direction, unknown);(Crossing, True);0.000;;
U;0;(Weather_Condition, 'Snow and Sleet');(Sunrise_Sunset, Night);0.000;;
U;0;(Weather_Condition, 'Small Hail');(Sunrise_Sunset, Night);0.000;;
U;0;(Wind_Direction, SE);(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Wind_Direction, W);(Railway, True);0.000;;
U;0;(Junction, True);(Stop, True);0.000;;
U;0;(Weather_Condition, Haze);(Amenity, True);0.000;;
U;0;(Weather_Condition, Snow);(Station, True);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Weather_Condition, Thunderstorms);(Station, True);0.000;;
U;0;(Weather_Condition, 'Light Freezing Rain');(Traffic_Signal, True);0.000;;
U;0;(Wind_Direction, unknown);(Weather_Condition, unknown);0.000;;
U;0;(Street, large_local);(Weather_Condition, 'Small Hail');0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Pressure(in), '\'(-inf-29.815]\'');(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Wind_Direction, Variable);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Street, on_off_ramp);(Weather_Condition, Windy);0.000;;
U;0;(Wind_Direction, unknown);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Ice Pellets');0.000;;
U;0;(Street, Beltway);(Weather_Condition, 'Snow and Sleet');0.000;;
U;0;(Weather_Condition, 'Ice Pellets');(Sunrise_Sunset, Night);0.000;;
D;1;(Weather_Condition, Overcast);(Railway, True);0.001;19.628;
D;1;(Wind_Direction, SW);(Weather_Condition, 'Light Freezing Rain');0.001;19.628;
D;1;(Railway, True);(Stop, True);0.001;12.268;
D;1;(Wind_Direction, E);(Amenity, True);0.001;12.268;
D;1;(Weather_Condition, Rain);(Amenity, True);0.000;9.814;
D;1;(Weather_Condition, 'Scattered Clouds');(Amenity, True);0.001;9.814;
D;1;(Weather_Condition, Snow);(Railway, True);0.000;9.814;
D;1;(Wind_Direction, NW);(Weather_Condition, 'Ice Pellets');0.000;9.814;
D;1;(Weather_Condition, Thunder);(Traffic_Signal, True);0.000;9.814;
D;1;(Street, Tunnel);(Traffic_Signal, True);0.000;9.814;
D;1;(Weather_Condition, unknown);(Stop, True);0.000;9.814;
D;1;(Weather_Condition, Haze);(Station, True);0.000;9.814;
D;1;(Street, local);(Weather_Condition, Thunderstorm);0.000;9.814;
D;1;(Weather_Condition, Thunderstorm);(Traffic_Signal, True);0.000;9.814;
D;1;(Weather_Condition, Windy);(Stop, True);0.000;9.814;
D;1;(Street, Highway);(Weather_Condition, 'Snow and Sleet');0.000;9.814;
D;1;(Weather_Condition, Drizzle);(Traffic_Calming, True);0.000;9.814;
D;1;(Wind_Direction, N);(Weather_Condition, 'Snow and Sleet');0.000;9.814;
D;1;(Stop, True);(Traffic_Signal, True);0.003;9.201;
D;1;(Weather_Condition, unknown);(Traffic_Signal, True);0.002;8.833;
D;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, Haze);0.001;8.661;
D;1;(Weather_Condition, unknown);(Crossing, True);0.001;7.851;
D;1;(Weather_Condition, Rain);(Stop, True);0.001;7.361;
D;1;(Weather_Condition, Haze);(Crossing, True);0.001;7.361;
D;1;(Weather_Condition, Overcast);(Stop, True);0.001;7.138;
D;1;(Weather_Condition, Clear);(Stop, True);0.002;6.715;
D;0;(Street, Beltway);(Wind_Direction, E);0.004;6.572;
D;1;(Stop, True);(Traffic_Calming, True);0.000;6.543;
D;1;(Weather_Condition, 'Scattered Clouds');(Stop, True);0.001;6.245;
D;1;(Weather_Condition, Drizzle);(Stop, True);0.002;6.134;
D;0;(Pressure(in), '\'(29.815-30.055]\'');(Weather_Condition, 'Heavy Rain');0.001;5.910;
D;1;(Wind_Direction, SE);(Amenity, True);0.001;5.888;
D;1;(Weather_Condition, 'Mostly Cloudy');(Railway, True);0.001;5.888;
D;0;(Street, Beltway);(Wind_Direction, SW);0.014;5.830;
D;1;(Wind_Direction, SE);(Weather_Condition, Snow);0.003;5.662;
D;1;(Weather_Condition, 'Mostly Cloudy');(Stop, True);0.005;5.555;
D;1;(Weather_Condition, Clear);(Amenity, True);0.001;5.452;
D;1;(Stop, True);(Sunrise_Sunset, Night);0.010;5.211;
D;1;(Wind_Direction, SE);(Stop, True);0.003;5.165;
D;1;(Wind_Direction, E);(Stop, True);0.002;5.165;
