Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference;
U;0;(type_employer, State-gov);(relationship, Not-in-family);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0046;;
U;0;(age, '\'(39.5-45.5]\'');(occupation, Other-service);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0045;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 8);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0045;;
U;0;(age, '\'(27.5-34.5]\'');(education_num, 6);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0044;;
U;0;(age, '\'(-inf-27.5]\'');(relationship, Own-child);(hr_worked_per_week, '\'(40.5-47.5]\'');0.0043;;
U;0;(type_employer, Private);(occupation, Handlers-cleaners);(relationship, Unmarried);0.0043;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Handlers-cleaners);(relationship, Not-in-family);0.0043;;
U;0;(occupation, Machine-op-inspct);(relationship, Own-child);(sex, Female);0.0043;;
U;0;(type_employer, Private);(education_num, 4);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0043;;
U;0;(age, '\'(-inf-27.5]\'');(type_employer, Local-gov);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0042;;
U;0;(age, '\'(39.5-45.5]\'');(marital_status, Divorced);(occupation, Other-service);0.0042;;
U;0;(marital_status, Never-married);(occupation, Machine-op-inspct);(race, Black);0.0042;;
U;0;(education_num, 10);(occupation, Other-service);(relationship, Unmarried);0.0042;;
U;0;(age, '\'(34.5-39.5]\'');(marital_status, Separated);(sex, Female);0.0042;;
U;0;(type_employer, Local-gov);(occupation, Adm-clerical);(relationship, Unmarried);0.0041;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 7);(occupation, Other-service);0.0041;;
U;0;(age, '\'(39.5-45.5]\'');(education_num, 9);(marital_status, Separated);0.0040;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(marital_status, Never-married);(occupation, Machine-op-inspct);0.0040;;
U;0;(marital_status, Widowed);(occupation, Adm-clerical);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0040;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 9);(occupation, Farming-fishing);0.0039;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 11);(relationship, Own-child);0.0039;;
U;0;(education_num, 7);(relationship, Not-in-family);(sex, Female);0.0039;;
U;0;(fnlwgt, '\'(96945-138590]\'');(marital_status, Separated);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0039;;
U;0;(education_num, 9);(marital_status, Separated);(occupation, Other-service);0.0039;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(marital_status, Divorced);(occupation, Other-service);0.0039;;
U;0;(education_num, 6);(occupation, Other-service);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0039;;
U;0;(fnlwgt, '\'(96945-138590]\'');(occupation, Other-service);(relationship, Unmarried);0.0039;;
U;0;(marital_status, Never-married);(occupation, Farming-fishing);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0039;;
U;0;(type_employer, Private);(education_num, 6);(occupation, Handlers-cleaners);0.0039;;
U;0;(education_num, 9);(marital_status, Widowed);(occupation, Other-service);0.0038;;
U;0;(fnlwgt, '\'(96945-138590]\'');(marital_status, Never-married);(occupation, Machine-op-inspct);0.0038;;
U;0;(education_num, 9);(occupation, Farming-fishing);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0037;;
U;0;(education_num, 10);(occupation, Prof-specialty);(relationship, Own-child);0.0037;;
U;0;(age, '\'(-inf-27.5]\'');(type_employer, Federal-gov);(marital_status, Never-married);0.0037;;
U;0;(marital_status, Separated);(occupation, Other-service);(relationship, Unmarried);0.0037;;
U;0;(marital_status, Separated);(occupation, Other-service);(race, Black);0.0037;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(education_num, 9);(marital_status, Separated);0.0037;;
U;0;(relationship, Other-relative);(race, Black);(sex, Male);0.0037;;
U;0;(type_employer, State-gov);(relationship, Own-child);(sex, Female);0.0037;;
U;0;(occupation, Machine-op-inspct);(relationship, Unmarried);(race, Black);0.0037;;
U;1;(occupation, Prof-specialty);(relationship, Wife);(hr_worked_per_week, '\'(47.5-52.5]\'');0.0037;;
U;0;(fnlwgt, '\'(96945-138590]\'');(occupation, Machine-op-inspct);(relationship, Not-in-family);0.0036;;
U;0;(type_employer, Private);(education_num, 4);(occupation, Machine-op-inspct);0.0036;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 10);(relationship, Other-relative);0.0036;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(occupation, Other-service);(race, Black);0.0036;;
U;0;(age, '\'(34.5-39.5]\'');(education_num, 9);(marital_status, Separated);0.0036;;
U;1;(type_employer, Federal-gov);(education_num, 14);(marital_status, Married-civ-spouse);0.0036;;
U;1;(type_employer, Federal-gov);(education_num, 14);(relationship, Husband);0.0036;;
U;0;(education_num, 6);(marital_status, Never-married);(occupation, Other-service);0.0035;;
U;0;(type_employer, Private);(occupation, Farming-fishing);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0035;;
U;0;(education_num, 8);(marital_status, Never-married);(sex, Female);0.0035;;
U;0;(fnlwgt, '\'(138590-176261.5]\'');(marital_status, Separated);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0035;;
U;0;(occupation, Adm-clerical);(relationship, Other-relative);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0035;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Tech-support);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0035;;
U;0;(marital_status, Divorced);(occupation, Adm-clerical);(hr_worked_per_week, '\'(40.5-47.5]\'');0.0035;;
U;0;(age, '\'(-inf-27.5]\'');(marital_status, Separated);(sex, Female);0.0034;;
U;0;(age, '\'(27.5-34.5]\'');(marital_status, Divorced);(occupation, Machine-op-inspct);0.0034;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(176261.5-206692.5]\'');(occupation, Handlers-cleaners);0.0034;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(occupation, Machine-op-inspct);(relationship, Not-in-family);0.0034;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(marital_status, Separated);(sex, Female);0.0034;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(occupation, Adm-clerical);(relationship, Own-child);0.0034;;
U;0;(type_employer, Local-gov);(marital_status, Never-married);(relationship, Unmarried);0.0034;;
U;0;(marital_status, Never-married);(occupation, Machine-op-inspct);(relationship, Unmarried);0.0034;;
U;0;(fnlwgt, '\'(176261.5-206692.5]\'');(marital_status, Never-married);(relationship, Other-relative);0.0034;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(marital_status, Never-married);(occupation, Machine-op-inspct);0.0034;;
U;0;(education_num, 9);(relationship, Own-child);(hr_worked_per_week, '\'(52.5-inf)\'');0.0034;;
U;0;(relationship, Other-relative);(race, Black);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0033;;
U;0;(age, '\'(34.5-39.5]\'');(marital_status, Separated);(relationship, Unmarried);0.0033;;
U;0;(education_num, 10);(marital_status, Separated);(race, Black);0.0033;;
U;0;(education_num, 9);(occupation, Farming-fishing);(relationship, Own-child);0.0033;;
U;0;(type_employer, State-gov);(marital_status, Never-married);(occupation, Other-service);0.0033;;
U;0;(type_employer, Local-gov);(marital_status, Never-married);(occupation, Other-service);0.0033;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 5);(marital_status, Never-married);0.0033;;
U;0;(age, '\'(27.5-34.5]\'');(fnlwgt, '\'(-inf-96945]\'');(race, Black);0.0033;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(occupation, Sales);(relationship, Own-child);0.0031;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(education_num, 7);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0031;;
U;0;(education_num, 8);(marital_status, Never-married);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0031;;
U;0;(type_employer, Federal-gov);(marital_status, Never-married);(race, Black);0.0031;;
U;0;(type_employer, Local-gov);(education_num, 9);(relationship, Own-child);0.0031;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(96945-138590]\'');(race, Black);0.0031;;
U;0;(age, '\'(-inf-27.5]\'');(marital_status, Never-married);(hr_worked_per_week, '\'(37.5-39.5]\'');0.0031;;
U;0;(relationship, Other-relative);(race, Black);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0031;;
U;0;(education_num, 6);(occupation, Other-service);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0031;;
U;0;(education_num, 10);(relationship, Other-relative);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0031;;
U;0;(age, '\'(34.5-39.5]\'');(occupation, Machine-op-inspct);(relationship, Not-in-family);0.0031;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(occupation, Machine-op-inspct);(relationship, Not-in-family);0.0031;;
U;0;(age, '\'(27.5-34.5]\'');(relationship, Other-relative);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0031;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(relationship, Other-relative);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0031;;
U;0;(type_employer, Federal-gov);(occupation, Adm-clerical);(relationship, Unmarried);0.0030;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 10);(marital_status, Divorced);0.0030;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(176261.5-206692.5]\'');(relationship, Other-relative);0.0030;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(education_num, 7);(sex, Female);0.0030;;
U;0;(occupation, Handlers-cleaners);(sex, Female);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0030;;
U;0;(marital_status, Separated);(occupation, Craft-repair);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0030;;
U;0;(marital_status, Never-married);(occupation, Adm-clerical);(relationship, Other-relative);0.0030;;
U;1;(education_num, 8);(marital_status, Married-civ-spouse);(occupation, Prof-specialty);0.0030;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 8);(sex, Female);0.0029;;
U;0;(age, '\'(-inf-27.5]\'');(relationship, Other-relative);(race, Black);0.0029;;
U;0;(type_employer, Local-gov);(fnlwgt, '\'(-inf-96945]\'');(relationship, Unmarried);0.0029;;
U;0;(fnlwgt, '\'(176261.5-206692.5]\'');(education_num, 9);(marital_status, Separated);0.0029;;
U;1;(age, '\'(39.5-45.5]\'');(occupation, Exec-managerial);(hr_worked_per_week, '\'(37.5-39.5]\'');0.0029;;
U;1;(education_num, 8);(occupation, Prof-specialty);(relationship, Husband);0.0029;;
U;0;(age, '\'(27.5-34.5]\'');(type_employer, State-gov);(occupation, Adm-clerical);0.0028;;
U;0;(education_num, 10);(marital_status, Never-married);(occupation, Farming-fishing);0.0028;;
U;0;(occupation, Farming-fishing);(relationship, Own-child);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0028;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Handlers-cleaners);(sex, Female);0.0028;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 9);(marital_status, Separated);0.0028;;
U;0;(age, '\'(-inf-27.5]\'');(type_employer, Local-gov);(occupation, Adm-clerical);0.0028;;
U;0;(education_num, 10);(marital_status, Divorced);(hr_worked_per_week, '\'(37.5-39.5]\'');0.0028;;
U;0;(type_employer, Local-gov);(occupation, Adm-clerical);(race, Black);0.0028;;
U;0;(age, '\'(27.5-34.5]\'');(occupation, Machine-op-inspct);(relationship, Unmarried);0.0028;;
U;0;(education_num, 6);(marital_status, Divorced);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0028;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(marital_status, Never-married);(occupation, Transport-moving);0.0028;;
U;0;(education_num, 11);(marital_status, Never-married);(occupation, Other-service);0.0027;;
U;0;(education_num, 10);(occupation, Handlers-cleaners);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0027;;
U;0;(fnlwgt, '\'(96945-138590]\'');(marital_status, Divorced);(occupation, Machine-op-inspct);0.0027;;
U;0;(education_num, 8);(sex, Female);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0027;;
U;0;(age, '\'(-inf-27.5]\'');(marital_status, Divorced);(relationship, Own-child);0.0027;;
U;0;(education_num, 8);(relationship, Not-in-family);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0027;;
U;0;(occupation, Handlers-cleaners);(relationship, Not-in-family);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0027;;
U;0;(marital_status, Never-married);(occupation, Transport-moving);(race, Black);0.0027;;
U;0;(education_num, 4);(occupation, Other-service);(sex, Female);0.0027;;
U;0;(fnlwgt, '\'(176261.5-206692.5]\'');(occupation, Craft-repair);(relationship, Own-child);0.0027;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(education_num, 7);(sex, Female);0.0027;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(-inf-96945]\'');(education_num, 7);0.0027;;
U;0;(education_num, 9);(occupation, Adm-clerical);(relationship, Other-relative);0.0027;;
U;0;(fnlwgt, '\'(138590-176261.5]\'');(marital_status, Never-married);(relationship, Other-relative);0.0027;;
U;0;(age, '\'(27.5-34.5]\'');(occupation, Handlers-cleaners);(relationship, Not-in-family);0.0027;;
U;0;(age, '\'(-inf-27.5]\'');(race, Asian-Pac-Islander);(sex, Female);0.0027;;
U;0;(marital_status, Divorced);(relationship, Other-relative);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0027;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(occupation, Craft-repair);(relationship, Own-child);0.0027;;
U;0;(age, '\'(-inf-27.5]\'');(marital_status, Divorced);(occupation, Adm-clerical);0.0027;;
U;0;(type_employer, Self-emp-not-inc);(occupation, Other-service);(relationship, Not-in-family);0.0027;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(276793.5-inf)\'');(marital_status, Divorced);0.0026;;
U;0;(age, '\'(-inf-27.5]\'');(marital_status, Divorced);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0026;;
U;0;(education_num, 5);(marital_status, Never-married);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0026;;
U;0;(type_employer, Self-emp-inc);(marital_status, Never-married);(relationship, Own-child);0.0026;;
U;0;(education_num, 11);(marital_status, Never-married);(occupation, Tech-support);0.0026;;
U;0;(age, '\'(-inf-27.5]\'');(type_employer, State-gov);(occupation, Adm-clerical);0.0026;;
U;0;(age, '\'(34.5-39.5]\'');(marital_status, Separated);(race, Black);0.0026;;
U;0;(age, '\'(34.5-39.5]\'');(fnlwgt, '\'(138590-176261.5]\'');(relationship, Own-child);0.0026;;
U;1;(type_employer, Self-emp-inc);(occupation, Prof-specialty);(hr_worked_per_week, '\'(47.5-52.5]\'');0.0026;;
U;0;(fnlwgt, '\'(138590-176261.5]\'');(marital_status, Never-married);(occupation, Tech-support);0.0025;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(education_num, 6);(marital_status, Never-married);0.0025;;
U;0;(marital_status, Never-married);(occupation, Transport-moving);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0025;;
U;0;(marital_status, Separated);(occupation, Sales);(relationship, Unmarried);0.0025;;
U;0;(type_employer, Federal-gov);(education_num, 9);(relationship, Unmarried);0.0025;;
U;0;(age, '\'(27.5-34.5]\'');(type_employer, Local-gov);(relationship, Unmarried);0.0025;;
U;0;(age, '\'(39.5-45.5]\'');(type_employer, Private);(relationship, Other-relative);0.0025;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(138590-176261.5]\'');(occupation, Handlers-cleaners);0.0025;;
U;0;(occupation, Handlers-cleaners);(relationship, Unmarried);(sex, Female);0.0025;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Craft-repair);(sex, Female);0.0025;;
U;0;(type_employer, Local-gov);(occupation, Other-service);(race, Black);0.0025;;
U;0;(education_num, 6);(marital_status, Never-married);(race, Black);0.0025;;
U;0;(age, '\'(-inf-27.5]\'');(sex, Female);(hr_worked_per_week, '\'(37.5-39.5]\'');0.0025;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Farming-fishing);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0025;;
U;0;(education_num, 4);(sex, Female);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0025;;
U;1;(fnlwgt, '\'(96945-138590]\'');(education_num, 15);(hr_worked_per_week, '\'(47.5-52.5]\'');0.0024;;
U;0;(education_num, 8);(occupation, Other-service);(sex, Female);0.0024;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(marital_status, Never-married);(occupation, Farming-fishing);0.0024;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(96945-138590]\'');(education_num, 7);0.0024;;
U;0;(age, '\'(-inf-27.5]\'');(type_employer, State-gov);(occupation, Other-service);0.0024;;
U;0;(type_employer, State-gov);(education_num, 10);(occupation, Other-service);0.0024;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(occupation, Handlers-cleaners);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0024;;
U;0;(type_employer, Private);(education_num, 7);(relationship, Other-relative);0.0024;;
U;0;(type_employer, State-gov);(occupation, Adm-clerical);(relationship, Own-child);0.0024;;
U;0;(fnlwgt, '\'(96945-138590]\'');(education_num, 12);(marital_status, Never-married);0.0024;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(176261.5-206692.5]\'');(education_num, 7);0.0024;;
U;0;(fnlwgt, '\'(138590-176261.5]\'');(education_num, 7);(marital_status, Never-married);0.0024;;
U;0;(education_num, 9);(marital_status, Separated);(occupation, Craft-repair);0.0024;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Adm-clerical);(relationship, Other-relative);0.0024;;
U;0;(fnlwgt, '\'(176261.5-206692.5]\'');(relationship, Other-relative);(sex, Female);0.0024;;
U;0;(education_num, 7);(occupation, Other-service);(relationship, Not-in-family);0.0024;;
U;0;(type_employer, Self-emp-not-inc);(marital_status, Never-married);(occupation, Other-service);0.0024;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(marital_status, Never-married);(occupation, Farming-fishing);0.0024;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(occupation, Handlers-cleaners);(relationship, Not-in-family);0.0024;;
U;1;(age, '\'(45.5-52.5]\'');(education_num, 15);(hr_worked_per_week, '\'(40.5-47.5]\'');0.0023;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(occupation, Craft-repair);(relationship, Unmarried);0.0023;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 8);(occupation, Other-service);0.0023;;
U;0;(education_num, 8);(marital_status, Never-married);(race, Black);0.0023;;
U;0;(age, '\'(27.5-34.5]\'');(marital_status, Separated);(race, Black);0.0023;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 7);(relationship, Not-in-family);0.0023;;
U;0;(education_num, 8);(marital_status, Never-married);(occupation, Other-service);0.0023;;
U;0;(type_employer, Private);(education_num, 10);(race, Amer-Indian-Eskimo);0.0023;;
U;0;(age, '\'(52.5-inf)\'');(education_num, 4);(occupation, Other-service);0.0023;;
U;0;(age, '\'(-inf-27.5]\'');(fnlwgt, '\'(-inf-96945]\'');(occupation, Tech-support);0.0023;;
U;0;(age, '\'(34.5-39.5]\'');(occupation, Craft-repair);(relationship, Own-child);0.0023;;
U;0;(education_num, 5);(marital_status, Never-married);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0023;;
U;0;(fnlwgt, '\'(176261.5-206692.5]\'');(relationship, Other-relative);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0023;;
U;0;(type_employer, Local-gov);(occupation, Other-service);(relationship, Not-in-family);0.0023;;
U;0;(education_num, 4);(relationship, Not-in-family);(sex, Female);0.0023;;
U;0;(education_num, 6);(relationship, Own-child);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0023;;
U;0;(age, '\'(34.5-39.5]\'');(fnlwgt, '\'(276793.5-inf)\'');(marital_status, Separated);0.0023;;
U;0;(fnlwgt, '\'(138590-176261.5]\'');(occupation, Machine-op-inspct);(relationship, Unmarried);0.0023;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Transport-moving);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0022;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(marital_status, Widowed);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0022;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(marital_status, Separated);(occupation, Other-service);0.0022;;
U;0;(education_num, 9);(occupation, Handlers-cleaners);(relationship, Unmarried);0.0022;;
U;0;(occupation, Handlers-cleaners);(race, Black);(sex, Female);0.0022;;
U;0;(relationship, Own-child);(sex, Female);(hr_worked_per_week, '\'(40.5-47.5]\'');0.0022;;
U;0;(type_employer, Self-emp-not-inc);(marital_status, Widowed);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0022;;
U;0;(education_num, 9);(marital_status, Separated);(occupation, Sales);0.0022;;
U;0;(type_employer, Private);(occupation, Farming-fishing);(sex, Female);0.0022;;
U;0;(education_num, 7);(occupation, Adm-clerical);(sex, Female);0.0022;;
