Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
Highway,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',W,'Scattered Clouds',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,'Partly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(36.95-46.1]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',Calm,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Interstate,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',S,Drizzle,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(76.9-inf)\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',N,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(36.95-46.1]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',W,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Night
local,'\'(76.9-inf)\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',E,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
Interstate,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Calm,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',S,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',SE,Drizzle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
large_local,'\'(67.05-76.9]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,'Mostly Cloudy',FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
large_local,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,'Partly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
Highway,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Beltway,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',Calm,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(-inf-36.95]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
large_local,'\'(46.1-56.9]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',NE,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Highway,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(36.95-46.1]\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',W,Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(46.1-56.9]\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(67.05-76.9]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',E,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Night
Highway,'\'(56.9-67.05]\'','\'(68.5-82.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SW,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Interstate,'\'(-inf-36.95]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
large_local,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Calm,'Partly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Night
local,'\'(76.9-inf)\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',S,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(46.1-56.9]\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NE,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(67.05-76.9]\'','\'(43.5-55.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Calm,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
large_local,'\'(46.1-56.9]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',W,'Scattered Clouds',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(56.9-67.05]\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NE,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(67.05-76.9]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Calm,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Interstate,'\'(-inf-36.95]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Highway,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SW,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Interstate,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NE,Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(-inf-36.95]\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
large_local,'\'(76.9-inf)\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,'Scattered Clouds',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(67.05-76.9]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,'Partly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Interstate,'\'(36.95-46.1]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',W,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(56.9-67.05]\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SW,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(56.9-67.05]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',S,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Interstate,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',NE,Overcast,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Beltway,'\'(46.1-56.9]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(67.05-76.9]\'','\'(68.5-82.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',S,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
local,'\'(67.05-76.9]\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NE,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Interstate,'\'(67.05-76.9]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NE,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',NW,Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Interstate,'\'(-inf-36.95]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Night
local,'\'(76.9-inf)\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Variable,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(56.9-67.05]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Interstate,'\'(-inf-36.95]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SW,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Interstate,'\'(-inf-36.95]\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(36.95-46.1]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',W,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(36.95-46.1]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SW,'Partly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Highway,'\'(46.1-56.9]\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,Windy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
large_local,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Highway,'\'(56.9-67.05]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Interstate,'\'(46.1-56.9]\'','\'(68.5-82.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SE,Drizzle,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NE,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(67.05-76.9]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',W,'Partly Cloudy',FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Night
Interstate,'\'(36.95-46.1]\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(76.9-inf)\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,'Scattered Clouds',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Interstate,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Highway,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
large_local,'\'(46.1-56.9]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',Calm,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
large_local,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(46.1-56.9]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',SE,Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(67.05-76.9]\'','\'(68.5-82.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SE,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(56.9-67.05]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',N,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(76.9-inf)\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SW,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Interstate,'\'(67.05-76.9]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(46.1-56.9]\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NE,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
large_local,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SW,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(67.05-76.9]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(67.05-76.9]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',S,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',Calm,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
large_local,'\'(67.05-76.9]\'','\'(43.5-55.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NE,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Day
local,'\'(46.1-56.9]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SW,'Scattered Clouds',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Highway,'\'(46.1-56.9]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Interstate,'\'(56.9-67.05]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SW,'Partly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Beltway,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(67.05-76.9]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',S,'Partly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(36.95-46.1]\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NE,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(76.9-inf)\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(46.1-56.9]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Variable,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(46.1-56.9]\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',SW,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
large_local,'\'(67.05-76.9]\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SW,Fair,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
local,'\'(-inf-36.95]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',S,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
large_local,'\'(67.05-76.9]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',S,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(76.9-inf)\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',W,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(67.05-76.9]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
large_local,'\'(67.05-76.9]\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,'Partly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
local,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SW,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
local,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',Calm,Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Highway,'\'(76.9-inf)\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',S,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day
local,'\'(36.95-46.1]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
local,'\'(-inf-36.95]\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,'Mostly Cloudy',FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night
Highway,'\'(46.1-56.9]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Variable,Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(56.9-67.05]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',E,Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
Highway,'\'(36.95-46.1]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Night
Highway,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',NE,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day
