Type;Class;Variable1;Variable2;Variable3;Frequency;Frequency_Difference
U;0;(Street, Interstate);(Humidity(_%), '\'(93.5-inf)\'');(Junction, True);0.003;;
U;0;(Street, Interstate);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);0.003;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NE);(Junction, True);0.003;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SW);(Weather_Condition, 'Mostly Cloudy');0.003;;
U;0;(Street, Highway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);0.003;;
U;0;(Street, Highway);(Wind_Direction, NW);(Junction, True);0.003;;
U;0;(Street, Highway);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);0.003;;
U;0;(Street, large_local);(Wind_Direction, SE);(Weather_Condition, 'Mostly Cloudy');0.003;;
U;0;(Street, Highway);(Wind_Direction, Calm);(Weather_Condition, 'Partly Cloudy');0.003;;
U;0;(Street, large_local);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SE);0.003;;
U;0;(Wind_Direction, S);(Weather_Condition, 'Mostly Cloudy');(Sunrise_Sunset, Night);0.003;;
U;0;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Mostly Cloudy');0.003;;
U;0;(Street, Highway);(Wind_Direction, N);(Weather_Condition, Fair);0.003;;
U;0;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Junction, True);0.003;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Calm);(Weather_Condition, 'Partly Cloudy');0.003;;
U;0;(Street, Interstate);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);0.003;;
U;0;(Wind_Direction, NW);(Weather_Condition, Drizzle);(Junction, False);0.003;;
U;0;(Street, local);(Wind_Direction, NE);(Weather_Condition, Drizzle);0.003;;
U;0;(Street, large_local);(Humidity(_%), '\'(82.5-93.5]\'');(Junction, True);0.003;;
U;0;(Street, Highway);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');0.003;;
U;0;(Street, local);(Wind_Direction, S);(Weather_Condition, 'Mostly Cloudy');0.003;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SW);(Weather_Condition, 'Mostly Cloudy');0.003;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Scattered Clouds');(Sunrise_Sunset, Day);0.003;;
U;0;(Street, local);(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Clear);0.003;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);(Weather_Condition, Drizzle);0.003;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SE);(Weather_Condition, Fair);0.003;;
U;0;(Street, Interstate);(Wind_Direction, W);(Weather_Condition, 'Partly Cloudy');0.003;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Drizzle);(Junction, True);0.003;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');(Sunrise_Sunset, Night);0.003;;
U;0;(Wind_Direction, S);(Weather_Condition, Clear);(Traffic_Signal, False);0.003;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Weather_Condition, Drizzle);0.003;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SE);(Weather_Condition, 'Mostly Cloudy');0.003;;
U;0;(Street, Highway);(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');0.002;;
U;0;(Street, Beltway);(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');0.002;;
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Mostly Cloudy');0.002;;
U;0;(Street, Interstate);(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');0.002;;
U;0;(Street, Highway);(Wind_Direction, S);(Weather_Condition, 'Mostly Cloudy');0.002;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Variable);(Crossing, False);0.002;;
U;0;(Street, large_local);(Wind_Direction, N);(Weather_Condition, Cloudy);0.002;;
U;0;(Street, Interstate);(Wind_Direction, NE);(Weather_Condition, Drizzle);0.002;;
U;0;(Street, large_local);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, N);0.002;;
U;0;(Wind_Direction, Calm);(Weather_Condition, Clear);(Traffic_Signal, True);0.002;;
U;0;(Street, Beltway);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, S);0.002;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Crossing, True);(Sunrise_Sunset, Night);0.002;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Variable);(Traffic_Signal, False);0.002;;
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Partly Cloudy');0.002;;
U;0;(Street, Interstate);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);0.002;;
U;0;(Street, Beltway);(Wind_Direction, W);(Weather_Condition, Fair);0.002;;
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, S);0.002;;
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Junction, True);0.002;;
U;0;(Street, Beltway);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Fair);0.002;;
U;0;(Street, Interstate);(Wind_Direction, S);(Weather_Condition, Cloudy);0.002;;
U;0;(Weather_Condition, 'Mostly Cloudy');(Traffic_Signal, True);(Sunrise_Sunset, Night);0.002;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Weather_Condition, Fair);0.002;;
U;0;(Wind_Direction, Calm);(Weather_Condition, 'Mostly Cloudy');(Traffic_Signal, True);0.002;;
U;0;(Street, Beltway);(Wind_Direction, S);(Junction, True);0.002;;
U;0;(Street, Highway);(Wind_Direction, Calm);(Traffic_Signal, True);0.002;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Weather_Condition, 'Mostly Cloudy');0.002;;
U;0;(Street, local);(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Partly Cloudy');0.002;;
U;0;(Street, Interstate);(Wind_Direction, Calm);(Weather_Condition, Drizzle);0.002;;
U;0;(Street, large_local);(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');0.002;;
U;0;(Street, Beltway);(Wind_Direction, SW);(Weather_Condition, 'Mostly Cloudy');0.002;;
U;0;(Street, Interstate);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Partly Cloudy');0.002;;
U;0;(Wind_Direction, SW);(Junction, True);(Sunrise_Sunset, Night);0.002;;
U;0;(Wind_Direction, NW);(Weather_Condition, Cloudy);(Junction, True);0.002;;
U;0;(Street, Interstate);(Wind_Direction, E);(Weather_Condition, Cloudy);0.002;;
U;0;(Street, Interstate);(Wind_Direction, W);(Weather_Condition, Cloudy);0.002;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Scattered Clouds');(Sunrise_Sunset, Day);0.002;;
U;0;(Street, large_local);(Wind_Direction, NE);(Weather_Condition, Drizzle);0.002;;
U;0;(Street, large_local);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);0.002;;
U;0;(Street, Interstate);(Wind_Direction, S);(Weather_Condition, 'Mostly Cloudy');0.002;;
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, W);0.002;;
U;0;(Street, large_local);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, S);0.002;;
U;0;(Street, Beltway);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, N);0.002;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NE);(Traffic_Signal, True);0.002;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);(Weather_Condition, Drizzle);0.002;;
U;0;(Street, Interstate);(Wind_Direction, NW);(Weather_Condition, Drizzle);0.002;;
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, E);0.002;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Calm);(Weather_Condition, 'Scattered Clouds');0.002;;
U;0;(Street, large_local);(Weather_Condition, 'Mostly Cloudy');(Junction, True);0.002;;
U;0;(Street, Highway);(Wind_Direction, E);(Weather_Condition, Cloudy);0.002;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Weather_Condition, Drizzle);0.002;;
U;0;(Weather_Condition, Cloudy);(Crossing, True);(Sunrise_Sunset, Night);0.002;;
U;0;(Street, Interstate);(Wind_Direction, SW);(Junction, True);0.002;;
U;0;(Street, Highway);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);0.002;;
U;0;(Wind_Direction, SW);(Traffic_Signal, True);(Sunrise_Sunset, Night);0.002;;
U;0;(Street, Interstate);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);0.002;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Junction, True);0.002;;
U;0;(Street, Highway);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Partly Cloudy');0.002;;
U;0;(Street, Beltway);(Wind_Direction, S);(Weather_Condition, Cloudy);0.002;;
U;0;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);0.002;;
U;0;(Weather_Condition, 'Partly Cloudy');(Junction, True);(Sunrise_Sunset, Night);0.002;;
U;0;(Wind_Direction, NW);(Weather_Condition, 'Mostly Cloudy');(Traffic_Signal, True);0.002;;
U;0;(Street, large_local);(Weather_Condition, Cloudy);(Junction, True);0.002;;
U;0;(Weather_Condition, 'Mostly Cloudy');(Crossing, True);(Traffic_Signal, False);0.002;;
U;0;(Street, Interstate);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Partly Cloudy');0.002;;
U;0;(Wind_Direction, S);(Junction, True);(Sunrise_Sunset, Night);0.002;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Crossing, True);(Sunrise_Sunset, Night);0.002;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SE);(Weather_Condition, Fair);0.002;;
U;0;(Street, Highway);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);0.002;;
U;0;(Street, Highway);(Wind_Direction, W);(Weather_Condition, Cloudy);0.002;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);(Weather_Condition, Cloudy);0.002;;
U;0;(Street, Highway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Variable);0.002;;
U;0;(Street, large_local);(Wind_Direction, SW);(Junction, True);0.002;;
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, S);0.002;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, Drizzle);(Junction, True);0.002;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, W);(Weather_Condition, Fair);0.002;;
U;0;(Street, local);(Wind_Direction, NW);(Weather_Condition, Drizzle);0.002;;
U;0;(Wind_Direction, S);(Weather_Condition, Fair);(Junction, True);0.002;;
U;0;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, Fair);0.002;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, S);(Weather_Condition, 'Mostly Cloudy');0.002;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Scattered Clouds');(Sunrise_Sunset, Night);0.002;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SE);(Weather_Condition, 'Mostly Cloudy');0.002;;
U;0;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, N);0.002;;
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, E);0.001;;
U;0;(Street, large_local);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, W);0.001;;
U;0;(Street, Beltway);(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, Highway);(Wind_Direction, NE);(Junction, True);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Fog);(Crossing, False);0.001;;
U;0;(Street, large_local);(Wind_Direction, S);(Weather_Condition, Cloudy);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, SW);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Street, local);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, E);0.001;;
U;0;(Street, Highway);(Weather_Condition, 'Partly Cloudy');(Junction, True);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, NE);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NE);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Station, True);(Traffic_Signal, True);(Sunrise_Sunset, Night);0.001;;
U;0;(Street, Highway);(Wind_Direction, E);(Weather_Condition, Fair);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, 'Mostly Cloudy');(Traffic_Signal, True);0.001;;
U;0;(Street, Interstate);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, Variable);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, W);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Street, large_local);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, Interstate);(Wind_Direction, Variable);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Street, Beltway);(Wind_Direction, E);(Junction, False);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, local);(Wind_Direction, SW);(Weather_Condition, Drizzle);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NE);(Traffic_Signal, True);0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Weather_Condition, Fog);(Traffic_Signal, False);0.001;;
U;0;(Street, large_local);(Wind_Direction, Calm);(Weather_Condition, Drizzle);0.001;;
U;0;(Street, local);(Humidity(_%), '\'(82.5-93.5]\'');(Junction, True);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Weather_Condition, 'Mostly Cloudy');(Traffic_Signal, True);0.001;;
U;0;(Wind_Direction, E);(Crossing, True);(Junction, False);0.001;;
U;0;(Wind_Direction, NE);(Traffic_Signal, True);(Sunrise_Sunset, Night);0.001;;
U;0;(Street, Interstate);(Wind_Direction, E);(Weather_Condition, Fair);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SE);(Junction, True);0.001;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Mostly Cloudy');(Traffic_Signal, True);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, NW);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, SE);(Junction, True);0.001;;
U;0;(Wind_Direction, SE);(Weather_Condition, Cloudy);(Junction, True);0.001;;
U;0;(Street, Interstate);(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, Variable);0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Variable);(Crossing, False);0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Street, Interstate);(Wind_Direction, S);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Mostly Cloudy');(Junction, True);0.001;;
U;0;(Street, Beltway);(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, S);0.001;;
U;0;(Wind_Direction, Calm);(Weather_Condition, 'Partly Cloudy');(Junction, True);0.001;;
U;0;(Street, Interstate);(Wind_Direction, Variable);(Sunrise_Sunset, Night);0.001;;
U;0;(Street, local);(Wind_Direction, NE);(Weather_Condition, Clear);0.001;;
U;0;(Street, Highway);(Humidity(_%), '\'(93.5-inf)\'');(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Humidity(_%), '\'(93.5-inf)\'');(Wind_Direction, Variable);(Traffic_Signal, False);0.001;;
U;0;(Street, large_local);(Wind_Direction, NW);(Weather_Condition, Drizzle);0.001;;
U;0;(Street, Highway);(Wind_Direction, E);(Weather_Condition, 'Mostly Cloudy');0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, SW);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Visibility(mi), '\'(-inf-9.5]\'');(Wind_Direction, NW);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Street, local);(Wind_Direction, NE);(Weather_Condition, 'Partly Cloudy');0.001;;
U;0;(Humidity(_%), '\'(82.5-93.5]\'');(Wind_Direction, W);(Weather_Condition, Cloudy);0.001;;
