Severity,Start_Time,Distance(mi),Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Snow_Or_Ice,Low_Vis_Weather,Rain,Freezing?,Slowdown,Season
1,2016-12-02 12:21:45,0.01,Interstate,51.8,47.0,30.02,10.0,W,Scattered Clouds,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-02 16:24:31,0.01,Interstate,42.8,49.0,30.09,10.0,NW,Mostly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-02 22:20:20,0.01,Interstate,41.0,55.0,30.12,10.0,W,Mostly Cloudy,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-03 08:52:25,0.01,Highway,42.8,61.0,30.23,10.0,W,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-03 13:33:58,0.01,Interstate,51.8,50.0,30.16,10.0,NW,Mostly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-03 14:56:31,0.01,Interstate,51.8,50.0,30.18,10.0,NW,Scattered Clouds,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-03 17:14:21,0.8,Beltway,42.8,57.0,30.23,10.0,NW,Scattered Clouds,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-03 17:53:22,0.01,Interstate,39.2,56.0,30.27,10.0,NW,Mostly Cloudy,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-03 18:52:20,0.01,Beltway,41.0,61.0,30.24,10.0,W,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-03 19:02:24,0.01,large_local,41.0,65.0,30.27,10.0,NW,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-04 08:22:53,0.01,large_local,33.8,70.0,30.32,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-04 09:15:19,0.01,Beltway,39.2,65.0,30.28,10.0,N,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-04 09:23:27,0.01,Beltway,39.2,65.0,30.28,10.0,N,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-05 05:41:29,0.01,large_local,39.9,100.0,30.0,10.0,SW,Overcast,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-05 06:23:06,1.61,Beltway,41.0,87.0,30.01,10.0,SW,Overcast,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-05 06:36:35,0.01,Beltway,41.0,87.0,30.0,10.0,SW,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-05 06:56:55,0.01,local,43.0,89.0,30.02,10.0,S,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-05 07:01:24,0.01,Interstate,42.8,100.0,30.03,7.0,SW,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-05 08:20:42,0.01,large_local,44.6,93.0,30.03,10.0,SW,Overcast,0,0,0,0,0,0,0,1,Day,0,0,0,0,1,Winter
1,2016-12-05 08:58:56,0.01,Interstate,37.4,100.0,30.0,10.0,SW,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-05 09:23:05,0.01,large_local,39.2,87.0,30.06,10.0,SW,Overcast,0,0,0,0,0,0,0,1,Day,0,0,0,0,1,Winter
1,2016-12-05 09:43:28,0.01,Highway,44.2,91.0,30.05,9.0,W,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-05 10:02:41,0.01,Highway,44.2,91.0,30.05,9.0,W,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-05 11:07:52,0.01,Highway,48.2,81.0,30.04,10.0,NW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-05 12:12:42,0.01,large_local,51.8,50.0,30.0,10.0,NW,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-05 12:36:11,0.01,Beltway,53.6,51.0,30.0,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-05 12:36:31,0.01,local,52.2,60.0,30.02,10.0,NW,Scattered Clouds,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-05 12:57:33,0.01,Interstate,46.4,71.0,30.0,10.0,W,Scattered Clouds,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-05 14:35:58,0.01,large_local,53.6,54.0,30.05,10.0,NW,Scattered Clouds,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-05 17:08:33,0.01,Interstate,46.4,71.0,30.06,10.0,NW,Scattered Clouds,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-06 04:27:10,0.01,local,37.4,87.0,30.13,10.0,Calm,Clear,0,1,0,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-06 05:22:00,0.01,Beltway,44.1,63.0,30.12,10.0,E,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-06 06:41:39,0.01,Beltway,44.1,65.0,30.1,10.0,NE,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-06 06:42:29,0.01,large_local,35.6,100.0,30.13,10.0,Calm,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-06 07:16:36,0.01,large_local,35.6,75.0,30.13,10.0,Calm,Partly Cloudy,0,0,0,0,0,0,0,1,Day,0,0,0,0,1,Winter
1,2016-12-06 08:10:00,0.01,local,41.5,67.0,30.12,10.0,NE,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-06 08:23:42,0.01,large_local,41.0,70.0,30.08,10.0,Variable,Drizzle,0,0,1,0,0,0,0,0,Day,0,0,1,0,1,Winter
1,2016-12-06 09:17:56,0.01,Interstate,42.1,67.0,30.09,10.0,E,Drizzle,0,0,0,0,0,0,0,0,Day,0,0,1,0,0,Winter
1,2016-12-06 09:39:56,0.01,local,37.4,93.0,30.11,10.0,NE,Drizzle,0,0,1,0,0,0,0,0,Day,0,0,1,0,1,Winter
1,2016-12-06 17:39:42,0.01,Highway,42.1,100.0,29.83,2.0,NE,Rain,0,0,0,0,0,0,0,0,Night,0,0,1,0,0,Winter
1,2016-12-06 19:37:39,0.01,local,43.0,100.0,29.83,3.0,N,Drizzle,0,0,0,0,0,0,0,0,Night,0,0,1,0,0,Winter
1,2016-12-06 22:37:23,0.01,Interstate,44.1,96.0,29.8,5.0,NE,Drizzle,0,0,0,0,0,0,0,0,Night,0,0,1,0,0,Winter
1,2016-12-07 04:26:34,2.21,large_local,41.0,87.0,29.93,10.0,NW,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-07 04:46:35,0.01,Interstate,39.2,87.0,29.97,10.0,Calm,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-07 05:01:26,0.01,large_local,41.0,87.0,29.94,10.0,Calm,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-07 05:27:16,0.01,Beltway,41.0,87.0,29.94,10.0,Calm,Overcast,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-07 06:03:27,0.01,large_local,41.0,87.0,29.96,10.0,Calm,Overcast,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-07 06:30:44,0.01,Highway,41.0,87.0,29.99,7.0,Calm,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-07 06:34:17,0.01,Interstate,41.0,87.0,30.0,5.0,Calm,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-07 07:14:16,0.01,Interstate,42.1,96.0,29.98,9.0,NW,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-07 08:08:54,0.01,Interstate,42.8,100.0,30.02,7.0,NW,Mostly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-07 08:19:09,6.02,Interstate,41.0,100.0,30.0,8.0,NW,Mostly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-07 09:30:05,0.01,large_local,41.0,81.0,30.08,10.0,NW,Clear,0,0,0,0,0,0,0,1,Day,0,0,0,0,1,Winter
1,2016-12-07 09:28:17,2.35,Interstate,41.0,81.0,30.08,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-07 09:29:25,0.01,Interstate,41.0,81.0,30.08,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-07 11:31:42,0.01,large_local,46.4,62.0,30.04,10.0,NW,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-07 11:44:05,0.01,Highway,44.6,71.0,30.07,10.0,NW,Scattered Clouds,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-07 11:42:48,0.01,Beltway,46.4,62.0,30.03,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-07 11:44:05,0.01,Highway,44.6,71.0,30.07,10.0,NW,Scattered Clouds,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-08 04:18:19,0.01,large_local,32.0,93.0,30.05,5.0,Calm,Mostly Cloudy,0,0,1,0,0,0,0,0,Night,0,0,0,1,1,Winter
1,2016-12-08 06:26:39,0.01,Beltway,33.8,93.0,30.04,10.0,Calm,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-08 06:27:35,0.01,large_local,33.8,93.0,30.04,10.0,Calm,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-08 06:46:13,0.01,large_local,35.6,87.0,30.04,10.0,Calm,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-08 06:41:08,0.01,Beltway,35.6,87.0,30.04,10.0,Calm,Overcast,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-08 07:40:47,0.01,large_local,43.0,62.0,30.06,10.0,N,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-08 07:36:34,0.01,large_local,32.0,100.0,30.06,3.0,Calm,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-08 07:47:37,0.01,large_local,39.2,87.0,30.05,10.0,SW,Overcast,0,0,0,0,0,0,0,1,Day,0,0,0,0,1,Winter
1,2016-12-08 08:00:00,0.01,Highway,33.8,100.0,30.06,4.0,Calm,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-08 08:43:36,0.01,Highway,39.2,70.0,30.08,10.0,W,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-08 08:38:59,0.01,Highway,39.2,70.0,30.08,10.0,W,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-08 10:49:06,0.01,local,44.6,57.0,30.05,10.0,SW,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-09 05:31:06,0.01,Interstate,30.2,47.0,30.25,10.0,W,Clear,0,0,1,0,0,0,0,0,Night,0,0,0,1,1,Winter
1,2016-12-09 07:21:26,0.01,local,28.8,50.0,30.29,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-09 08:05:01,0.01,Beltway,30.9,50.0,30.3,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-09 08:24:39,0.01,Beltway,30.2,51.0,30.29,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-09 09:27:17,0.01,Interstate,34.0,50.0,30.3,10.0,NW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-09 09:31:52,0.01,local,34.0,50.0,30.3,10.0,NW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-09 09:45:36,0.01,Beltway,32.0,51.0,30.32,10.0,NW,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,1,1,Winter
1,2016-12-09 09:54:52,0.01,Interstate,32.0,48.0,30.33,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-09 11:33:31,0.01,Highway,35.6,52.0,30.33,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-09 12:07:57,0.01,Beltway,35.6,48.0,30.31,10.0,W,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,1,1,Winter
1,2016-12-10 10:55:38,0.01,Beltway,33.8,44.0,30.49,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-10 13:53:00,0.01,large_local,33.8,41.0,30.44,10.0,NW,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,1,1,Winter
1,2016-12-10 18:58:10,0.01,Highway,29.5,49.0,30.51,10.0,W,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-11 10:48:51,0.01,Highway,31.8,57.0,30.56,9.0,SE,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-11 10:50:44,0.01,large_local,28.4,80.0,30.55,10.0,Calm,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-11 11:58:33,0.01,local,30.2,69.0,30.52,10.0,Calm,Overcast,0,0,1,0,0,0,0,0,Day,0,0,0,1,1,Winter
1,2016-12-11 12:32:54,0.01,Interstate,33.8,48.0,30.47,10.0,SE,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-12 07:22:39,1.7,Beltway,44.1,96.0,29.94,10.0,SW,Drizzle,0,0,0,0,0,0,0,0,Day,0,0,1,0,0,Winter
1,2016-12-12 07:30:21,0.01,local,42.8,100.0,29.94,7.0,Calm,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-12 07:57:30,0.01,Interstate,42.8,81.0,29.94,5.0,SW,Overcast,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-12 08:01:39,0.01,Interstate,42.8,81.0,29.94,5.0,SW,Overcast,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-12 08:15:35,0.01,large_local,42.8,93.0,29.91,10.0,SW,Overcast,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-12 08:31:24,0.01,Beltway,42.8,93.0,29.91,10.0,SW,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-12 08:26:44,0.01,Interstate,46.9,90.0,29.92,9.0,SW,Drizzle,0,0,0,0,0,0,0,0,Day,0,0,1,0,0,Winter
1,2016-12-12 08:45:25,0.01,Interstate,37.0,100.0,29.89,4.0,W,Mostly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-12 10:22:21,0.01,large_local,41.0,100.0,29.93,10.0,SW,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-12 17:01:40,0.01,large_local,51.8,67.0,29.92,10.0,NW,unknown,0,0,0,0,0,0,0,1,Night,0,0,0,0,1,Winter
1,2016-12-13 05:26:23,0.01,local,28.0,78.0,30.17,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-13 06:41:44,0.01,Interstate,33.8,65.0,30.21,10.0,Calm,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-13 07:36:01,0.01,local,39.9,65.0,30.19,10.0,E,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-13 09:13:03,0.01,large_local,37.4,70.0,30.19,10.0,Calm,Scattered Clouds,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-13 09:12:14,0.01,Tunnel,37.9,70.0,30.19,10.0,E,Overcast,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-13 09:56:44,0.01,Highway,37.4,70.0,30.2,10.0,SE,Scattered Clouds,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-13 10:35:51,0.01,Highway,42.1,55.0,30.2,10.0,SE,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-13 11:52:33,3.83,large_local,42.8,53.0,30.21,10.0,SW,Scattered Clouds,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-13 12:08:05,0.01,large_local,42.8,53.0,30.2,10.0,SW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-13 16:28:18,0.01,Beltway,42.8,61.0,30.12,10.0,SE,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-13 18:57:05,0.01,Interstate,42.8,57.0,30.14,10.0,Calm,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-13 19:00:21,0.01,Beltway,41.0,65.0,30.05,10.0,Calm,Overcast,0,0,1,0,0,0,0,0,Night,0,0,0,0,1,Winter
1,2016-12-13 22:22:42,0.01,Beltway,41.0,65.0,30.02,10.0,Calm,Overcast,0,0,0,0,0,0,0,0,Night,0,0,0,0,0,Winter
1,2016-12-14 06:26:14,0.01,Beltway,37.0,76.0,30.09,10.0,NW,Scattered Clouds,0,0,1,0,0,0,0,0,Night,0,0,0,1,1,Winter
1,2016-12-14 06:19:00,0.01,Beltway,35.6,81.0,30.06,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-14 06:45:15,0.01,Beltway,37.0,76.0,30.09,10.0,NW,Scattered Clouds,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-14 06:50:50,0.01,Beltway,35.6,81.0,30.07,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-14 07:16:09,0.01,large_local,35.6,81.0,30.09,10.0,NW,Clear,0,0,1,0,0,0,0,0,Night,0,0,0,1,1,Winter
1,2016-12-14 07:34:45,0.01,Interstate,32.0,93.0,30.11,7.0,NW,Scattered Clouds,0,0,1,0,0,0,0,0,Day,0,0,0,1,1,Winter
1,2016-12-14 07:32:41,0.01,Interstate,32.0,93.0,30.11,7.0,NW,Scattered Clouds,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-14 08:20:15,0.01,large_local,33.8,70.0,30.14,10.0,NW,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,1,1,Winter
1,2016-12-14 08:23:11,0.01,Interstate,33.8,70.0,30.14,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-14 09:46:34,0.01,large_local,41.0,65.0,30.13,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-14 11:35:19,0.01,large_local,41.0,53.0,30.12,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,0,0,Winter
1,2016-12-14 12:16:40,0.01,Interstate,44.6,46.0,30.09,10.0,W,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,0,1,Winter
1,2016-12-15 04:27:29,0.01,Interstate,32.0,55.0,29.92,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-15 07:03:24,0.01,Beltway,27.9,29.0,30.01,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-15 07:12:14,0.01,local,27.9,29.0,30.01,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-15 07:16:02,0.01,Interstate,21.2,33.0,30.02,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-15 07:09:24,0.01,Beltway,26.6,31.0,30.0,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-15 08:51:14,0.01,Highway,17.6,35.0,30.25,10.0,W,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 08:55:44,0.01,Beltway,24.8,28.0,30.09,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 09:12:28,0.01,Highway,21.2,42.0,30.12,10.0,NW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 09:10:32,0.01,Interstate,24.8,28.0,30.09,10.0,NW,Clear,0,0,1,0,0,0,0,0,Day,0,0,0,1,1,Winter
1,2016-12-15 09:21:30,0.01,Interstate,21.2,36.0,30.16,10.0,NW,Scattered Clouds,0,0,1,0,0,0,0,0,Day,0,0,0,1,1,Winter
1,2016-12-15 09:37:03,0.01,Beltway,24.8,28.0,30.11,10.0,W,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 10:00:31,0.01,large_local,25.0,30.0,30.12,10.0,NW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 10:21:03,0.01,Interstate,26.6,31.0,30.11,10.0,NW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 10:26:34,0.01,Beltway,24.4,28.0,30.12,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,1,1,0,Winter
1,2016-12-15 10:36:02,0.01,large_local,21.2,30.0,30.14,10.0,NW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 10:37:07,0.01,Interstate,21.2,30.0,30.14,10.0,NW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 12:04:40,0.01,Interstate,12.9,51.0,30.08,10.0,NW,Overcast,0,0,0,0,0,0,0,0,Day,0,0,1,1,0,Winter
1,2016-12-15 12:10:24,0.01,Beltway,26.1,23.0,30.13,10.0,NW,Partly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 14:53:05,0.01,Beltway,23.0,28.0,30.19,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 16:32:35,0.01,Interstate,17.6,32.0,30.26,10.0,NW,Clear,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-15 17:11:56,0.01,Interstate,17.6,35.0,30.29,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-15 18:47:28,0.01,local,18.5,33.0,30.35,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-15 19:02:51,0.01,Beltway,19.9,30.0,30.35,10.0,NW,Clear,0,0,0,0,0,0,0,0,Night,0,0,0,1,0,Winter
1,2016-12-16 08:07:49,0.01,Interstate,17.1,45.0,30.5,10.0,NW,Mostly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-16 08:25:17,0.01,Interstate,19.4,49.0,30.53,10.0,NW,Mostly Cloudy,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-16 08:37:39,0.01,large_local,19.0,43.0,30.51,10.0,NW,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-16 09:56:13,0.01,Beltway,21.2,36.0,30.52,10.0,N,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-16 10:21:06,0.01,Interstate,23.0,46.0,30.53,10.0,SW,Overcast,0,0,0,0,0,0,0,0,Day,0,0,0,1,0,Winter
1,2016-12-16 11:45:54,0.01,large_local,23.0,36.0,30.49,10.0,Calm,Mostly Cloudy,0,0,1,0,0,0,0,0,Day,0,0,0,1,1,Winter
