capshp,capsurf,capcol,buis,odor,gilatt,gillspac,gillsiz,gillcol,stlkshp,stlkroot,surfabovring,surfbeloring,colabovring,colbeloring,veiltyp,veilcol,ringnum,ringtyp,sporcol,pop,hab
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,u
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
x,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,g
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
x,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
f,y,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
f,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g
x,f,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,g
f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
x,f,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d
x,s,p,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d
x,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
x,s,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d
f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
x,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
x,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
x,s,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d
x,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,g
f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
x,s,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d
f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
x,s,w,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d
x,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p
x,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,d
x,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d
x,f,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d
x,f,w,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d
x,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,d
x,f,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g
x,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p
x,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p
x,f,g,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d
x,f,p,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d
x,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,g
x,f,g,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d
x,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,d
x,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d
x,f,w,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d
x,f,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,v,d
x,s,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d
x,s,g,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d
x,f,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d
x,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p
x,f,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p
x,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,v,p
x,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,d
x,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p
x,f,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,y,d
x,f,g,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d
x,f,g,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
x,f,w,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d
x,f,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,g
x,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,p
x,f,p,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d
x,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,d
f,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,p
x,f,g,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d
x,y,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g
f,f,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,d
x,s,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,v,d
x,s,w,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,v,d
x,s,g,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d
x,f,p,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,s,d
x,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,d
x,s,w,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,v,d
x,f,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p
x,y,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p
x,s,w,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,s,d
