Type;Class;Variable1;Variable2;Frequency;Frequency_Difference;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Priv-house-serv);0.0013;;
U;1;(marital_status, Never-married);(relationship, Husband);0.0012;;
U;0;(occupation, Transport-moving);(relationship, Other-relative);0.0012;;
U;0;(occupation, Adm-clerical);(race, Other);0.0011;;
U;0;(education_num, 2);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0011;;
U;0;(occupation, Priv-house-serv);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0011;;
U;0;(occupation, Handlers-cleaners);(race, Amer-Indian-Eskimo);0.0011;;
U;0;(age, '\'(45.5-52.5]\'');(education_num, 3);0.0011;;
U;0;(education_num, 3);(marital_status, Never-married);0.0010;;
U;0;(education_num, 3);(relationship, Not-in-family);0.0010;;
U;0;(occupation, Other-service);(race, Other);0.0010;;
U;0;(education_num, 11);(race, Amer-Indian-Eskimo);0.0010;;
U;0;(education_num, 2);(relationship, Not-in-family);0.0010;;
U;0;(occupation, Machine-op-inspct);(race, Amer-Indian-Eskimo);0.0010;;
U;0;(marital_status, Divorced);(occupation, Priv-house-serv);0.0010;;
U;0;(education_num, 4);(relationship, Other-relative);0.0010;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(education_num, 3);0.0010;;
U;0;(education_num, 3);(sex, Female);0.0010;;
U;1;(marital_status, Divorced);(relationship, Husband);0.0010;;
U;0;(occupation, Priv-house-serv);(relationship, Own-child);0.0009;;
U;0;(education_num, 2);(sex, Female);0.0009;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(occupation, Priv-house-serv);0.0009;;
U;0;(education_num, 8);(occupation, Farming-fishing);0.0009;;
U;0;(education_num, 2);(hr_worked_per_week, '\'(39.5-40.5]\'');0.0009;;
U;0;(education_num, 5);(marital_status, Separated);0.0009;;
U;0;(education_num, 6);(race, Amer-Indian-Eskimo);0.0009;;
U;0;(relationship, Own-child);(race, Other);0.0009;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(occupation, Priv-house-serv);0.0009;;
U;0;(occupation, Farming-fishing);(relationship, Wife);0.0009;;
U;0;(relationship, Unmarried);(race, Other);0.0009;;
U;0;(marital_status, Divorced);(race, Other);0.0008;;
U;0;(education_num, 3);(relationship, Unmarried);0.0008;;
U;0;(education_num, 3);(race, Black);0.0008;;
U;0;(fnlwgt, '\'(96945-138590]\'');(education_num, 3);0.0008;;
U;0;(fnlwgt, '\'(138590-176261.5]\'');(occupation, Priv-house-serv);0.0007;;
U;0;(education_num, 8);(relationship, Other-relative);0.0007;;
U;0;(education_num, 6);(marital_status, Married-spouse-absent);0.0007;;
U;0;(education_num, 5);(relationship, Other-relative);0.0007;;
U;0;(fnlwgt, '\'(176261.5-206692.5]\'');(occupation, Priv-house-serv);0.0007;;
U;0;(education_num, 3);(occupation, Machine-op-inspct);0.0007;;
U;0;(education_num, 3);(occupation, Handlers-cleaners);0.0007;;
U;0;(education_num, 7);(occupation, Priv-house-serv);0.0007;;
U;0;(marital_status, Married-spouse-absent);(occupation, Farming-fishing);0.0007;;
U;1;(education_num, 15);(occupation, Transport-moving);0.0007;;
U;0;(marital_status, Married-spouse-absent);(occupation, Handlers-cleaners);0.0006;;
U;0;(marital_status, Widowed);(race, Amer-Indian-Eskimo);0.0006;;
U;0;(fnlwgt, '\'(176261.5-206692.5]\'');(education_num, 2);0.0006;;
U;0;(education_num, 2);(occupation, Other-service);0.0006;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(occupation, Priv-house-serv);0.0006;;
U;0;(type_employer, State-gov);(education_num, 4);0.0006;;
U;0;(marital_status, Married-spouse-absent);(occupation, Transport-moving);0.0006;;
U;0;(education_num, 12);(marital_status, Married-spouse-absent);0.0006;;
U;0;(marital_status, Widowed);(relationship, Own-child);0.0006;;
U;0;(education_num, 4);(occupation, Adm-clerical);0.0006;;
U;0;(education_num, 10);(occupation, Priv-house-serv);0.0006;;
U;0;(occupation, Handlers-cleaners);(race, Asian-Pac-Islander);0.0006;;
U;0;(fnlwgt, '\'(176261.5-206692.5]\'');(education_num, 3);0.0005;;
U;0;(education_num, 3);(marital_status, Divorced);0.0005;;
U;0;(education_num, 3);(occupation, Other-service);0.0005;;
U;0;(education_num, 4);(marital_status, Separated);0.0005;;
U;0;(type_employer, State-gov);(education_num, 5);0.0005;;
U;0;(occupation, Protective-serv);(relationship, Other-relative);0.0005;;
U;0;(education_num, 2);(race, Black);0.0005;;
U;0;(education_num, 4);(occupation, Protective-serv);0.0005;;
U;0;(education_num, 2);(marital_status, Widowed);0.0005;;
U;1;(education_num, 15);(occupation, Protective-serv);0.0004;;
U;1;(occupation, Machine-op-inspct);(race, Asian-Pac-Islander);0.0004;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 3);0.0004;;
U;0;(marital_status, Married-spouse-absent);(relationship, Other-relative);0.0004;;
U;0;(age, '\'(27.5-34.5]\'');(occupation, Priv-house-serv);0.0004;;
U;0;(education_num, 3);(relationship, Own-child);0.0004;;
U;0;(education_num, 11);(marital_status, Married-spouse-absent);0.0004;;
U;0;(occupation, Transport-moving);(race, Other);0.0004;;
U;0;(type_employer, Self-emp-not-inc);(education_num, 2);0.0004;;
U;0;(type_employer, Self-emp-inc);(education_num, 5);0.0004;;
U;0;(education_num, 2);(occupation, Transport-moving);0.0004;;
U;0;(occupation, Priv-house-serv);(relationship, Wife);0.0004;;
U;0;(education_num, 8);(marital_status, Separated);0.0004;;
U;0;(marital_status, Married-spouse-absent);(occupation, Tech-support);0.0004;;
U;0;(occupation, Farming-fishing);(race, Amer-Indian-Eskimo);0.0004;;
U;0;(fnlwgt, '\'(276793.5-inf)\'');(education_num, 2);0.0004;;
U;0;(education_num, 8);(marital_status, Married-spouse-absent);0.0003;;
U;0;(age, '\'(39.5-45.5]\'');(education_num, 3);0.0003;;
U;0;(occupation, Protective-serv);(race, Other);0.0003;;
U;0;(education_num, 2);(marital_status, Never-married);0.0003;;
U;0;(type_employer, Federal-gov);(education_num, 6);0.0003;;
U;0;(education_num, 11);(occupation, Priv-house-serv);0.0003;;
U;0;(education_num, 2);(marital_status, Divorced);0.0003;;
U;0;(education_num, 3);(occupation, Farming-fishing);0.0003;;
U;0;(education_num, 3);(marital_status, Widowed);0.0003;;
U;0;(marital_status, Married-spouse-absent);(race, Amer-Indian-Eskimo);0.0003;;
U;0;(education_num, 4);(race, Amer-Indian-Eskimo);0.0003;;
U;0;(education_num, 4);(marital_status, Married-spouse-absent);0.0003;;
U;0;(education_num, 2);(occupation, Craft-repair);0.0003;;
U;0;(marital_status, Separated);(race, Other);0.0003;;
U;0;(occupation, Priv-house-serv);(relationship, Other-relative);0.0003;;
U;0;(type_employer, Federal-gov);(race, Other);0.0003;;
U;0;(marital_status, Married-AF-spouse);(hr_worked_per_week, '\'(52.5-inf)\'');0.0003;;
U;0;(education_num, 3);(race, Asian-Pac-Islander);0.0003;;
U;0;(occupation, Handlers-cleaners);(race, Other);0.0003;;
U;0;(marital_status, Separated);(race, Amer-Indian-Eskimo);0.0003;;
U;0;(fnlwgt, '\'(138590-176261.5]\'');(education_num, 2);0.0003;;
U;0;(type_employer, State-gov);(education_num, 3);0.0003;;
U;0;(education_num, 8);(race, Other);0.0003;;
U;0;(age, '\'(-inf-27.5]\'');(occupation, Armed-Forces);0.0003;;
U;0;(education_num, 9);(occupation, Armed-Forces);0.0003;;
U;0;(marital_status, Never-married);(occupation, Armed-Forces);0.0003;;
U;0;(education_num, 6);(occupation, Priv-house-serv);0.0003;;
U;0;(education_num, 7);(marital_status, Married-spouse-absent);0.0003;;
U;0;(education_num, 5);(occupation, Priv-house-serv);0.0003;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(education_num, 2);0.0003;;
U;0;(fnlwgt, '\'(206692.5-276793.5]\'');(education_num, 2);0.0003;;
U;0;(education_num, 2);(occupation, Priv-house-serv);0.0003;;
U;0;(marital_status, Separated);(occupation, Priv-house-serv);0.0003;;
U;0;(education_num, 4);(race, Other);0.0003;;
U;0;(occupation, Priv-house-serv);(hr_worked_per_week, '\'(52.5-inf)\'');0.0003;;
U;0;(education_num, 4);(occupation, Tech-support);0.0003;;
U;0;(education_num, 7);(race, Asian-Pac-Islander);0.0003;;
U;0;(education_num, 11);(race, Other);0.0003;;
U;0;(age, '\'(-inf-27.5]\'');(marital_status, Widowed);0.0003;;
U;0;(marital_status, Married-AF-spouse);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0003;;
U;0;(education_num, 2);(relationship, Unmarried);0.0003;;
U;0;(education_num, 5);(race, Amer-Indian-Eskimo);0.0003;;
U;1;(education_num, 13);(marital_status, Married-AF-spouse);0.0002;;
U;1;(marital_status, Married-AF-spouse);(occupation, Prof-specialty);0.0002;;
U;1;(education_num, 15);(race, Other);0.0002;;
U;1;(education_num, 16);(relationship, Other-relative);0.0002;;
U;1;(education_num, 16);(occupation, Machine-op-inspct);0.0002;;
U;1;(education_num, 3);(occupation, Exec-managerial);0.0002;;
U;1;(occupation, Priv-house-serv);(relationship, Husband);0.0002;;
U;1;(occupation, Priv-house-serv);(hr_worked_per_week, '\'(37.5-39.5]\'');0.0002;;
U;1;(education_num, 15);(occupation, Machine-op-inspct);0.0002;;
U;0;(fnlwgt, '\'(138590-176261.5]\'');(occupation, Armed-Forces);0.0002;;
U;0;(occupation, Armed-Forces);(relationship, Not-in-family);0.0002;;
U;0;(type_employer, Local-gov);(education_num, 2);0.0002;;
U;0;(education_num, 2);(race, Amer-Indian-Eskimo);0.0002;;
U;0;(education_num, 2);(occupation, Machine-op-inspct);0.0002;;
U;0;(type_employer, Self-emp-inc);(occupation, Handlers-cleaners);0.0002;;
U;0;(education_num, 4);(occupation, Priv-house-serv);0.0002;;
U;0;(education_num, 6);(race, Other);0.0002;;
U;0;(age, '\'(34.5-39.5]\'');(education_num, 3);0.0002;;
U;0;(education_num, 3);(marital_status, Separated);0.0002;;
U;0;(age, '\'(34.5-39.5]\'');(marital_status, Married-AF-spouse);0.0002;;
U;0;(marital_status, Widowed);(race, Other);0.0002;;
U;0;(age, '\'(27.5-34.5]\'');(occupation, Armed-Forces);0.0002;;
U;0;(marital_status, Married-AF-spouse);(occupation, Sales);0.0002;;
U;0;(education_num, 7);(race, Other);0.0002;;
U;0;(type_employer, Self-emp-inc);(marital_status, Married-spouse-absent);0.0002;;
U;0;(age, '\'(-inf-27.5]\'');(education_num, 16);0.0002;;
U;0;(education_num, 3);(occupation, Priv-house-serv);0.0002;;
U;0;(marital_status, Married-spouse-absent);(hr_worked_per_week, '\'(37.5-39.5]\'');0.0002;;
U;0;(education_num, 5);(occupation, Tech-support);0.0002;;
U;0;(occupation, Tech-support);(race, Amer-Indian-Eskimo);0.0002;;
U;0;(education_num, 5);(occupation, Protective-serv);0.0002;;
U;0;(education_num, 15);(relationship, Other-relative);0.0002;;
U;0;(education_num, 2);(occupation, Handlers-cleaners);0.0002;;
U;0;(type_employer, Local-gov);(education_num, 3);0.0002;;
U;0;(education_num, 8);(race, Amer-Indian-Eskimo);0.0002;;
U;0;(education_num, 2);(occupation, Sales);0.0002;;
U;1;(fnlwgt, '\'(176261.5-206692.5]\'');(marital_status, Married-AF-spouse);0.0001;;
U;1;(age, '\'(45.5-52.5]\'');(occupation, Armed-Forces);0.0001;;
U;1;(education_num, 14);(occupation, Armed-Forces);0.0001;;
U;1;(education_num, 11);(marital_status, Married-AF-spouse);0.0001;;
U;1;(marital_status, Married-AF-spouse);(occupation, Farming-fishing);0.0001;;
U;1;(marital_status, Married-AF-spouse);(hr_worked_per_week, '\'(40.5-47.5]\'');0.0001;;
U;1;(education_num, 16);(occupation, Farming-fishing);0.0001;;
U;1;(education_num, 16);(race, Other);0.0001;;
U;1;(education_num, 5);(race, Asian-Pac-Islander);0.0001;;
U;1;(education_num, 15);(race, Amer-Indian-Eskimo);0.0001;;
U;1;(marital_status, Married-AF-spouse);(hr_worked_per_week, '\'(47.5-52.5]\'');0.0001;;
U;1;(education_num, 15);(occupation, Handlers-cleaners);0.0001;;
U;1;(type_employer, Federal-gov);(occupation, Priv-house-serv);0.0001;;
U;0;(occupation, Farming-fishing);(race, Other);0.0001;;
U;0;(marital_status, Married-spouse-absent);(race, Other);0.0001;;
U;0;(occupation, Armed-Forces);(hr_worked_per_week, '\'(-inf-37.5]\'');0.0001;;
U;0;(type_employer, Self-emp-inc);(race, Amer-Indian-Eskimo);0.0001;;
U;0;(type_employer, State-gov);(marital_status, Married-AF-spouse);0.0001;;
U;0;(marital_status, Married-AF-spouse);(relationship, Own-child);0.0001;;
U;0;(marital_status, Married-AF-spouse);(hr_worked_per_week, '\'(37.5-39.5]\'');0.0001;;
U;0;(education_num, 13);(occupation, Armed-Forces);0.0001;;
U;0;(education_num, 12);(marital_status, Married-AF-spouse);0.0001;;
U;0;(education_num, 5);(race, Other);0.0001;;
U;0;(fnlwgt, '\'(-inf-96945]\'');(occupation, Armed-Forces);0.0001;;
U;0;(occupation, Armed-Forces);(relationship, Other-relative);0.0001;;
U;0;(occupation, Armed-Forces);(race, Amer-Indian-Eskimo);0.0001;;
U;0;(occupation, Armed-Forces);(hr_worked_per_week, '\'(47.5-52.5]\'');0.0001;;
U;0;(education_num, 3);(marital_status, Married-spouse-absent);0.0001;;
U;0;(education_num, 2);(hr_worked_per_week, '\'(52.5-inf)\'');0.0001;;
U;0;(education_num, 3);(relationship, Other-relative);0.0001;;
U;0;(marital_status, Married-AF-spouse);(relationship, Other-relative);0.0001;;
U;0;(education_num, 2);(relationship, Other-relative);0.0001;;
U;0;(education_num, 2);(occupation, Farming-fishing);0.0001;;
U;0;(occupation, Tech-support);(race, Other);0.0001;;
U;0;(education_num, 3);(hr_worked_per_week, '\'(40.5-47.5]\'');0.0001;;
U;0;(fnlwgt, '\'(176261.5-206692.5]\'');(occupation, Armed-Forces);0.0001;;
U;0;(occupation, Armed-Forces);(relationship, Own-child);0.0001;;
U;0;(age, '\'(34.5-39.5]\'');(education_num, 2);0.0001;;
U;0;(education_num, 3);(occupation, Tech-support);0.0001;;
U;0;(occupation, Priv-house-serv);(hr_worked_per_week, '\'(47.5-52.5]\'');0.0001;;
U;0;(marital_status, Married-AF-spouse);(occupation, Transport-moving);0.0001;;
U;0;(education_num, 2);(marital_status, Married-spouse-absent);0.0001;;
U;0;(marital_status, Married-spouse-absent);(race, Asian-Pac-Islander);0.0001;;
U;0;(education_num, 3);(race, Amer-Indian-Eskimo);0.0001;;
U;0;(age, '\'(39.5-45.5]\'');(education_num, 2);0.0001;;
U;0;(education_num, 2);(relationship, Wife);0.0001;;
U;0;(type_employer, State-gov);(education_num, 2);0.0001;;
U;0;(marital_status, Married-AF-spouse);(occupation, Protective-serv);0.0001;;
U;0;(education_num, 2);(marital_status, Separated);0.0001;;
U;0;(education_num, 3);(occupation, Protective-serv);0.0001;;
U;0;(occupation, Priv-house-serv);(race, Asian-Pac-Islander);0.0001;;
U;0;(occupation, Priv-house-serv);(hr_worked_per_week, '\'(40.5-47.5]\'');0.0001;;
U;0;(age, '\'(27.5-34.5]\'');(education_num, 2);0.0001;;
U;0;(education_num, 2);(relationship, Own-child);0.0001;;
U;0;(education_num, 5);(marital_status, Married-spouse-absent);0.0001;;
U;0;(marital_status, Married-spouse-absent);(occupation, Protective-serv);0.0001;;
U;0;(education_num, 16);(occupation, Transport-moving);0.0001;;
U;0;(type_employer, Self-emp-inc);(education_num, 2);0.0001;;
U;0;(age, '\'(45.5-52.5]\'');(marital_status, Married-AF-spouse);0.0001;;
U;0;(type_employer, Self-emp-not-inc);(marital_status, Married-AF-spouse);0.0001;;
U;0;(education_num, 8);(occupation, Armed-Forces);0.0001;;
D;0;(age, '\'(-inf-27.5]\'');(relationship, Unmarried);0.0202;181.3030;
