Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
large_local,'\'(76.9-inf)\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SE,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
Beltway,'\'(46.1-56.9]\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,'Mostly Cloudy',False,False,True,False,False,False,False,False,Night
Highway,'\'(46.1-56.9]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Beltway,'\'(46.1-56.9]\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,Fair,False,False,True,False,False,False,False,False,Day
large_local,'\'(76.9-inf)\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',S,'Scattered Clouds',False,True,False,False,False,False,False,False,Day
Interstate,'\'(76.9-inf)\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Interstate,'\'(67.05-76.9]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',NE,Cloudy,False,False,False,False,False,False,False,False,Day
Highway,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,'Partly Cloudy',False,False,False,False,False,False,False,False,Night
Highway,'\'(46.1-56.9]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',SE,Fair,False,False,False,False,False,False,False,False,Day
Highway,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,Drizzle,False,False,False,False,False,False,False,False,Day
Beltway,'\'(46.1-56.9]\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Interstate,'\'(-inf-36.95]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',SW,'Wintry Mix',False,False,False,False,False,False,False,False,Day
local,'\'(-inf-36.95]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',Calm,Clear,False,False,False,False,False,False,False,False,Night
Interstate,'\'(46.1-56.9]\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',E,Fair,False,False,False,False,False,False,False,False,Day
local,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',W,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
Highway,'\'(-inf-36.95]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,'Light Freezing Rain',False,False,False,False,False,False,False,False,Night
Highway,'\'(67.05-76.9]\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NE,Fair,False,False,True,False,False,False,False,False,Day
local,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,Fair,False,False,False,False,False,True,False,False,Night
Beltway,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',S,Clear,False,False,False,False,False,False,False,False,Day
Highway,'\'(46.1-56.9]\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',N,Fair,False,False,False,False,False,False,False,False,Day
large_local,'\'(36.95-46.1]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,Overcast,False,False,False,False,False,False,False,False,Day
Beltway,'\'(36.95-46.1]\'','\'(43.5-55.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SW,Fair,False,False,False,False,False,False,False,False,Night
Highway,'\'(-inf-36.95]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SW,'Partly Cloudy',False,False,False,False,False,False,False,False,Night
Interstate,'\'(56.9-67.05]\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SW,Cloudy,False,False,True,False,False,False,False,False,Night
local,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,Cloudy,False,False,False,False,False,False,False,False,Day
large_local,'\'(76.9-inf)\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,Clear,False,False,False,False,False,False,False,False,Day
local,'\'(56.9-67.05]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SE,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Interstate,'\'(36.95-46.1]\'','\'(68.5-82.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',N,Cloudy,False,False,False,False,False,False,False,False,Night
Highway,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',W,'Scattered Clouds',False,False,False,False,False,False,False,False,Day
local,'\'(56.9-67.05]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',N,Clear,False,False,False,False,False,False,False,True,Day
Interstate,'\'(46.1-56.9]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',E,Cloudy,False,False,True,False,False,False,False,False,Night
large_local,'\'(67.05-76.9]\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',E,Clear,False,False,False,False,False,False,False,True,Day
Beltway,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',S,'Scattered Clouds',False,False,False,False,False,False,False,False,Day
local,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',W,Clear,False,False,False,False,False,False,False,False,Night
Beltway,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Interstate,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',NE,Drizzle,False,False,False,False,False,False,False,False,Day
Highway,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
Highway,'\'(46.1-56.9]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',S,Overcast,False,False,False,False,False,False,False,False,Day
Highway,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Overcast,False,False,False,False,False,False,False,False,Day
local,'\'(36.95-46.1]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',Calm,Fog,False,False,False,False,False,False,False,False,Night
Interstate,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',NE,Drizzle,False,False,False,False,False,False,False,False,Night
large_local,'\'(36.95-46.1]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,Clear,False,False,False,False,False,False,False,False,Day
local,'\'(46.1-56.9]\'','\'(43.5-55.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Calm,Fair,False,True,False,False,True,False,False,True,Night
local,'\'(56.9-67.05]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,Clear,False,False,False,False,False,False,False,False,Day
large_local,'\'(36.95-46.1]\'','\'(43.5-55.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,Overcast,False,False,True,False,False,False,False,False,Night
Interstate,'\'(76.9-inf)\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Beltway,'\'(56.9-67.05]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',E,'Mostly Cloudy',False,False,True,False,False,False,False,False,Day
Interstate,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',S,Drizzle,False,False,True,False,False,False,False,False,Day
Interstate,'\'(-inf-36.95]\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,Overcast,False,False,False,False,False,False,False,False,Night
large_local,'\'(76.9-inf)\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',SE,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
local,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',W,'Scattered Clouds',False,False,True,False,False,False,False,False,Day
Interstate,'\'(67.05-76.9]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
Interstate,'\'(46.1-56.9]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,'Mostly Cloudy',False,False,True,False,False,False,False,False,Night
Highway,'\'(76.9-inf)\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',N,Clear,False,False,False,False,False,False,False,False,Day
local,'\'(76.9-inf)\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,'Scattered Clouds',False,False,True,False,False,False,False,False,Day
Beltway,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Night
Beltway,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,'Scattered Clouds',False,False,False,False,False,False,False,False,Day
Beltway,'\'(56.9-67.05]\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',N,Fair,False,False,True,False,False,False,False,False,Day
Beltway,'\'(46.1-56.9]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Calm,Fair,False,False,True,False,False,False,False,False,Night
Interstate,'\'(36.95-46.1]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,Clear,False,False,False,False,False,False,False,False,Night
large_local,'\'(46.1-56.9]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',NE,Fair,False,False,True,False,False,False,False,False,Night
Highway,'\'(36.95-46.1]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',W,Clear,False,False,False,False,False,False,False,True,Night
local,'\'(76.9-inf)\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',E,'Mostly Cloudy',False,False,False,False,False,False,False,True,Day
Interstate,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Calm,Cloudy,False,False,False,False,False,False,False,False,Night
large_local,'\'(67.05-76.9]\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',SW,'Scattered Clouds',False,False,False,False,False,False,False,False,Day
large_local,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,Cloudy,False,False,True,False,False,False,False,False,Night
Beltway,'\'(46.1-56.9]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',S,Overcast,False,False,False,False,False,False,False,False,Day
local,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',S,Fair,False,False,False,False,False,False,False,False,Day
local,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',SE,Drizzle,False,False,False,False,False,False,False,False,Day
local,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,Overcast,False,False,False,False,False,False,False,False,Day
large_local,'\'(67.05-76.9]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,'Mostly Cloudy',False,False,True,False,False,False,False,False,Night
large_local,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,'Partly Cloudy',False,False,False,False,False,False,False,True,Day
large_local,'\'(46.1-56.9]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Overcast,False,False,False,False,False,False,False,True,Night
Highway,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,'Mostly Cloudy',False,False,False,False,False,False,False,False,Night
Beltway,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',Calm,Cloudy,False,False,False,False,False,False,False,False,Night
large_local,'\'(36.95-46.1]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,Clear,False,False,False,False,False,False,False,False,Day
Highway,'\'(46.1-56.9]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',S,Drizzle,False,False,False,False,False,False,False,False,Night
Beltway,'\'(-inf-36.95]\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,Fair,False,False,False,False,False,False,False,False,Night
large_local,'\'(67.05-76.9]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Variable,'Mostly Cloudy',False,False,True,False,False,False,False,False,Day
Interstate,'\'(36.95-46.1]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Interstate,'\'(56.9-67.05]\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
Interstate,'\'(67.05-76.9]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',N,Fair,False,False,False,False,False,False,False,False,Day
Interstate,'\'(-inf-36.95]\'','\'(68.5-82.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',S,Overcast,False,False,False,False,False,False,True,False,Night
local,'\'(-inf-36.95]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SE,'Mostly Cloudy',False,False,False,False,False,False,False,False,Night
large_local,'\'(46.1-56.9]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',NE,Overcast,False,False,False,False,False,False,False,False,Night
Highway,'\'(67.05-76.9]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',SW,Cloudy,False,False,False,False,False,False,False,False,Day
Beltway,'\'(76.9-inf)\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',SW,Overcast,False,False,False,False,False,False,False,False,Day
Tunnel,'\'(76.9-inf)\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',W,'Partly Cloudy',False,False,False,False,False,False,False,False,Day
Highway,'\'(36.95-46.1]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Clear,False,False,False,False,False,False,False,False,Day
Tunnel,'\'(76.9-inf)\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',E,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Interstate,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',NW,Snow,False,False,True,False,False,False,False,False,Day
large_local,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',E,Drizzle,False,False,False,False,False,False,False,False,Day
Beltway,'\'(76.9-inf)\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',S,Fair,False,False,False,False,False,False,False,False,Night
Beltway,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,Cloudy,False,False,True,False,False,False,False,False,Day
Highway,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',Calm,Clear,False,False,False,False,False,False,False,False,Day
Interstate,'\'(67.05-76.9]\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Beltway,'\'(46.1-56.9]\'','\'(-inf-43.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Calm,Fair,False,False,False,False,False,False,False,False,Night
large_local,'\'(67.05-76.9]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NE,Fair,False,False,False,False,False,False,False,False,Day
Highway,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Clear,False,False,False,False,False,False,False,False,Night
large_local,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',NE,Snow,False,False,False,False,False,False,False,False,Day
Interstate,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,Drizzle,False,False,False,False,False,False,False,False,Night
Highway,'\'(36.95-46.1]\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',W,Cloudy,False,False,True,False,False,False,False,False,Night
local,'\'(76.9-inf)\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',SW,Clear,False,True,False,False,False,False,False,True,Day
Beltway,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',NE,'Heavy Rain',False,False,True,False,False,False,False,False,Day
local,'\'(46.1-56.9]\'','\'(43.5-55.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,Cloudy,False,False,False,False,False,False,False,False,Day
Interstate,'\'(36.95-46.1]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',SE,Rain,False,False,True,False,False,False,False,False,Night
local,'\'(67.05-76.9]\'','\'(55.5-68.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',E,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
local,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,Clear,False,False,False,False,False,False,False,True,Night
Beltway,'\'(67.05-76.9]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,Cloudy,False,False,False,False,False,False,False,False,Day
Interstate,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',W,Overcast,False,False,False,False,False,False,False,False,Day
local,'\'(56.9-67.05]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,Clear,False,False,False,False,False,False,False,True,Day
Interstate,'\'(36.95-46.1]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',Calm,'Partly Cloudy',False,False,False,False,False,False,False,False,Night
Highway,'\'(56.9-67.05]\'','\'(68.5-82.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Night
local,'\'(56.9-67.05]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SW,Fair,False,False,False,False,False,False,False,False,Day
Interstate,'\'(-inf-36.95]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,Cloudy,False,False,False,False,False,False,False,False,Night
large_local,'\'(56.9-67.05]\'','\'(82.5-93.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Calm,'Partly Cloudy',False,False,False,False,False,False,False,True,Night
Interstate,'\'(-inf-36.95]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,Clear,False,False,False,False,False,False,False,False,Day
Interstate,'\'(46.1-56.9]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',SW,Cloudy,False,False,False,False,False,False,False,False,Day
local,'\'(76.9-inf)\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',S,Fair,False,False,False,False,False,False,False,False,Day
large_local,'\'(76.9-inf)\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',E,'Scattered Clouds',False,False,False,False,False,False,False,True,Day
Highway,'\'(46.1-56.9]\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NE,Cloudy,False,False,False,False,False,False,False,False,Day
large_local,'\'(36.95-46.1]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',Calm,'Mostly Cloudy',False,False,False,False,False,False,False,True,Day
Highway,'\'(56.9-67.05]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',SW,Fair,False,False,False,False,False,False,False,True,Day
Interstate,'\'(67.05-76.9]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',Calm,Fair,False,False,True,False,False,False,False,False,Day
Highway,'\'(67.05-76.9]\'','\'(43.5-55.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',Calm,Fair,False,False,False,False,False,False,False,False,Day
Beltway,'\'(67.05-76.9]\'','\'(43.5-55.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',S,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Highway,'\'(-inf-36.95]\'','\'(93.5-inf)\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',N,Snow,False,False,False,False,False,False,False,False,Day
large_local,'\'(56.9-67.05]\'','\'(-inf-43.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',S,Clear,False,False,False,False,False,False,False,False,Day
Interstate,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',Calm,Overcast,False,False,False,False,False,False,False,False,Day
local,'\'(-inf-36.95]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(9.5-10.25]\'',NW,Fair,False,False,False,False,False,False,False,False,Night
large_local,'\'(46.1-56.9]\'','\'(55.5-68.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',W,'Scattered Clouds',False,False,False,False,False,False,False,False,Night
Interstate,'\'(46.1-56.9]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',NW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
large_local,'\'(-inf-36.95]\'','\'(68.5-82.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',S,Clear,False,False,False,False,False,False,False,False,Night
large_local,'\'(56.9-67.05]\'','\'(55.5-68.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',W,Cloudy,False,False,False,False,False,False,False,False,Day
Beltway,'\'(-inf-36.95]\'','\'(82.5-93.5]\'','\'(30.055-inf)\'','\'(-inf-9.5]\'',Calm,Clear,False,False,True,False,False,False,False,False,Day
local,'\'(56.9-67.05]\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',NW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
Highway,'\'(76.9-inf)\'','\'(43.5-55.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',NW,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
local,'\'(46.1-56.9]\'','\'(-inf-43.5]\'','\'(30.055-inf)\'','\'(9.5-10.25]\'',N,Fair,False,False,False,False,False,False,False,False,Day
Highway,'\'(36.95-46.1]\'','\'(68.5-82.5]\'','\'(29.815-30.055]\'','\'(9.5-10.25]\'',Calm,'Scattered Clouds',False,False,False,False,False,False,False,False,Day
local,'\'(36.95-46.1]\'','\'(93.5-inf)\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',Calm,Overcast,False,False,False,False,False,False,False,False,Night
Interstate,'\'(67.05-76.9]\'','\'(82.5-93.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',Calm,'Mostly Cloudy',False,False,False,False,False,False,False,False,Night
