Distance(mi),Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
0.022,local,57.0,61.0,29.08,10.0,N,Fair,False,False,False,False,False,False,False,False,Night
0.045,local,82.0,28.0,30.17,10.0,SW,Fair,False,False,False,False,False,False,False,False,Day
2.215,Interstate,73.4,100.0,29.88,10.0,Calm,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
0.594,local,49.3,49.0,30.06,10.0,NW,Clear,False,False,False,False,False,False,False,False,Day
0.095,local,35.6,60.0,30.57,10.0,NE,Clear,False,False,False,False,False,False,False,False,Night
0.329,large_local,90.0,52.0,29.35,10.0,SW,Fair,False,False,False,False,False,False,False,False,Day
1.074,local,70.0,94.0,29.96,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
0.53,Highway,75.2,89.0,30.06,10.0,S,Clear,False,False,False,False,False,False,False,False,Day
0.513,local,62.6,100.0,30.07,2.5,Calm,Overcast,False,False,False,False,False,False,False,False,Day
0.101,large_local,71.0,45.0,29.7,10.0,NE,Mostly Cloudy,False,False,False,False,True,False,False,False,Day
0.556,local,46.4,87.0,29.67,10.0,SW,Scattered Clouds,False,False,False,False,False,False,False,False,Night
0.15,Highway,53.6,62.0,29.77,10.0,NW,Overcast,False,False,False,False,False,False,False,False,Night
1.125,Interstate,61.0,67.0,30.15,10.0,SW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
0.449,Beltway,61.0,93.0,30.01,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
0.488,local,76.0,67.0,29.91,10.0,S,Partly Cloudy,False,False,False,False,False,False,False,False,Night
1.584,local,39.0,50.0,30.48,10.0,NE,Clear,False,False,False,False,False,False,False,False,Night
0.07,local,79.0,69.0,30.09,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
0.453,local,53.1,69.0,30.21,10.0,Variable,Clear,False,False,False,False,False,False,False,False,Day
0.487,Highway,56.7,52.0,29.91,10.0,SW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.214,large_local,73.0,27.0,29.63,10.0,SW,Fair,False,True,False,False,False,False,False,True,Day
0.001,local,32.0,40.0,30.18,10.0,S,Overcast,False,False,False,False,False,False,False,True,Day
1.7200000286102295,large_local,76.5,87.0,30.12,10.0,S,Clear,False,False,True,False,False,False,False,False,Day
0.309,local,80.6,34.0,29.62,10.0,W,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.463,local,72.0,88.0,28.93,7.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Day
0.011,large_local,69.0,46.0,30.14,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,True,Day
0.381,local,80.6,45.0,30.3,10.0,SW,Clear,False,False,False,False,False,False,False,False,Day
0.131,local,23.0,93.0,29.95,6.0,Calm,Snow,False,False,False,False,False,False,False,False,Night
0.335,Highway,81.0,58.0,30.04,10.0,S,Fair,False,False,False,False,False,False,False,True,Day
1.33,local,39.2,100.0,29.78,10.0,NW,Overcast,False,False,False,False,False,False,False,False,Night
0.024,local,28.0,40.0,29.79,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
0.292,Highway,50.0,89.0,29.1,10.0,Variable,Cloudy,False,False,True,False,False,False,False,False,Day
0.304,Highway,66.0,60.0,29.99,10.0,E,Cloudy,False,False,True,False,False,False,False,False,Day
0.207,Highway,43.0,93.0,30.04,10.0,Calm,Fair,False,False,False,False,False,False,False,True,Night
0.193,Highway,63.0,88.0,30.03,7.0,NE,Cloudy,False,False,False,False,False,False,False,False,Day
0.044,Highway,96.0,40.0,29.85,10.0,SW,Fair,False,False,True,False,False,False,False,False,Day
0.792,local,52.0,77.0,29.92,10.0,N,Fair,False,False,False,False,False,False,False,True,Night
1.658,local,55.0,77.0,30.01,10.0,S,unknown,False,False,False,False,False,False,False,False,Night
1.359,Beltway,74.0,25.0,30.03,10.0,N,Cloudy,False,False,False,False,False,False,False,False,Day
0.625,Beltway,39.0,92.0,30.37,5.0,NE,Cloudy,False,False,False,False,False,False,False,False,Day
0.028,Highway,32.9,55.0,30.15,10.0,NW,Clear,False,False,False,False,False,False,False,False,Day
0.626,large_local,75.2,34.0,29.73,10.0,W,Scattered Clouds,False,False,False,False,False,False,False,False,Day
0.018,local,34.0,65.0,30.5,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
0.37,large_local,28.4,100.0,30.13,3.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
0.789,Highway,30.0,64.0,30.38,10.0,Calm,Fair,False,False,True,False,False,False,False,False,Day
3.45,Interstate,23.0,63.0,30.0,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
0.011,local,67.0,81.0,29.73,10.0,Calm,Fair,False,True,False,False,False,False,False,True,Night
0.089,Highway,61.0,100.0,29.68,7.0,NW,Heavy Rain,False,False,False,False,False,False,False,False,Night
0.154,local,46.0,93.0,29.56,7.0,SE,Cloudy,False,False,False,False,False,False,False,False,Night
0.026,local,30.0,100.0,29.94,0.19,NE,Windy,False,False,False,False,False,False,False,False,Day
0.002,local,78.8,100.0,29.91,10.0,Calm,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.605,large_local,80.1,81.0,29.87,10.0,SE,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
3.536,large_local,45.0,56.0,29.42,10.0,W,Overcast,False,False,False,False,False,False,False,False,Night
0.194,Beltway,55.0,91.0,29.67,10.0,SW,Cloudy,False,False,True,False,False,False,False,False,Night
0.619,Interstate,68.0,83.0,29.99,7.0,E,Cloudy,False,False,False,False,False,False,False,False,Night
0.286,large_local,41.0,94.0,30.22,4.0,N,Cloudy,False,True,False,False,False,False,False,True,Day
0.124,local,31.0,60.0,29.71,10.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
0.106,local,68.0,56.0,29.03,10.0,NW,Fair,False,False,False,False,False,False,False,False,Night
2.182,Interstate,64.9,75.0,30.39,10.0,NE,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
1.139,large_local,42.8,29.0,30.1,10.0,W,Clear,False,False,False,False,False,False,False,False,Day
1.978,Highway,21.0,78.0,29.9,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
0.389,local,82.0,58.0,30.1,10.0,SE,Fair,False,False,False,False,False,False,False,True,Day
0.224,local,70.0,28.0,29.4,10.0,SW,Fair,False,False,False,False,False,False,False,True,Day
3.5,large_local,29.0,75.0,29.77,10.0,S,Fair,False,False,True,False,False,False,False,False,Night
0.038,local,59.0,76.0,29.87,10.0,Calm,Fair,False,False,False,False,False,False,False,True,Night
0.631,large_local,78.1,79.0,30.1,9.0,S,Clear,False,False,False,False,False,False,False,False,Day
0.106,large_local,55.4,45.0,29.76,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
0.23,local,37.0,60.0,30.02,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
2.012,local,84.0,40.0,29.94,10.0,NW,Fair,False,False,False,False,False,True,False,False,Day
0.315,Interstate,46.0,66.0,30.38,10.0,NE,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
1.968,Beltway,61.0,100.0,29.99,5.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
1.378,local,48.2,37.0,30.23,10.0,Calm,Overcast,False,False,False,False,False,False,False,False,Day
0.207,Interstate,34.0,70.0,29.45,10.0,Calm,Cloudy,False,False,True,False,False,False,False,False,Night
0.8059999999999999,Interstate,72.0,43.0,29.52,10.0,NW,Fair,False,False,True,False,False,False,False,False,Day
0.16,Interstate,26.0,44.0,29.6,10.0,Variable,Fair,False,False,True,False,False,False,False,False,Night
0.446,Interstate,46.9,46.0,29.88,10.0,SW,Overcast,False,False,True,False,False,False,False,False,Day
0.125,Highway,49.0,97.0,29.39,1.0,SE,Fog,False,False,False,False,False,False,False,False,Day
0.653,large_local,64.8,100.0,29.66,10.0,NW,Overcast,False,False,False,False,False,True,False,False,Night
0.913,local,43.0,93.0,29.64,1.0,Calm,Fog,False,False,False,False,False,False,False,False,Day
1.364,local,48.2,32.0,29.83,10.0,NW,Scattered Clouds,False,False,False,False,False,False,False,False,Night
0.672,Interstate,41.0,53.0,27.28,10.0,SW,Fair,False,False,False,False,False,False,False,False,Night
0.077,Beltway,46.0,71.0,30.08,10.0,NE,Cloudy,False,False,True,False,False,False,False,False,Night
0.257,Highway,46.4,20.0,30.13,10.0,W,Clear,False,False,False,False,False,False,False,False,Day
0.22,local,42.8,100.0,29.34,0.5,W,Overcast,False,False,False,False,False,False,False,False,Day
0.397,large_local,67.0,87.0,29.52,10.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Day
3.910000085830689,Tunnel,69.0,75.0,29.68,10.0,SW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
0.0,Interstate,55.0,93.0,29.83,3.0,SE,Rain,False,False,False,False,False,False,False,False,Night
1.681,local,73.0,69.0,29.6,10.0,S,Cloudy,False,False,False,False,False,False,False,False,Night
0.036,local,60.8,52.0,30.21,5.0,E,Drizzle,False,False,False,False,False,False,False,False,Night
1.18,Highway,82.0,74.0,30.15,10.0,E,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.7340000000000001,Highway,54.0,51.0,29.75,10.0,W,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.498,local,69.4,87.0,29.96,10.0,SW,Clear,False,False,False,False,False,False,False,True,Night
2.857,large_local,64.0,100.0,30.03,7.0,Calm,unknown,False,False,False,False,False,False,False,False,Night
0.141,local,83.0,71.0,30.02,9.0,NE,Fair,False,False,False,False,False,False,False,False,Day
0.01,local,72.0,57.0,29.99,10.0,Variable,Fair,False,False,False,False,False,False,False,False,Day
0.099,local,73.4,73.0,30.04,10.0,SE,Clear,False,False,False,False,False,False,False,False,Day
0.8640000000000001,local,75.0,79.0,29.87,10.0,SW,Mostly Cloudy,False,True,False,False,False,False,False,True,Night
0.264,Interstate,65.0,87.0,29.88,10.0,Calm,Partly Cloudy,False,False,False,False,False,False,False,False,Night
0.201,Interstate,59.0,94.0,29.38,3.0,NW,Cloudy,False,False,False,False,False,False,False,False,Day
1.717,Interstate,32.0,51.0,30.21,10.0,NW,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.505,Highway,51.8,94.0,29.77,5.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
0.273,Interstate,49.0,86.0,29.4,10.0,SE,Cloudy,False,False,False,False,False,False,False,False,Night
0.036,local,20.0,36.0,30.52,10.0,SW,Fair,False,False,False,False,False,False,False,False,Day
0.482,local,81.0,67.0,30.04,10.0,SW,Fair,False,False,False,False,False,False,False,True,Night
0.047,local,50.0,83.0,29.81,10.0,SW,Cloudy,False,False,False,False,False,True,False,False,Night
0.02,local,40.6,48.0,30.05,10.0,NW,Overcast,False,False,False,False,False,False,False,False,Day
0.09,large_local,57.0,53.0,29.74,10.0,N,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
3.488,Highway,90.0,66.0,29.89,10.0,SW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
0.255,Highway,52.0,50.0,29.99,10.0,Calm,Partly Cloudy,False,False,False,False,False,False,False,False,Night
0.0,large_local,86.0,55.0,29.97,10.0,SW,Clear,False,False,False,False,False,False,False,False,Day
0.215,large_local,36.0,86.0,30.06,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
0.27,local,77.0,20.0,29.84,10.0,SW,Windy,False,False,False,False,False,False,False,False,Day
0.28,Highway,72.0,61.0,29.95,10.0,NE,Cloudy,False,False,False,False,False,False,False,False,Day
6.26,Interstate,86.0,65.0,29.94,10.0,S,Thunderstorm,False,False,False,False,False,False,False,False,Day
0.185,local,72.0,94.0,30.1,10.0,SE,Fair,False,False,False,False,False,False,False,False,Night
0.014,large_local,68.0,94.0,29.82,10.0,Calm,Fair,False,False,True,False,False,False,False,False,Night
3.707,Interstate,92.0,39.0,29.6,10.0,SW,Partly Cloudy,False,False,True,False,False,False,False,False,Day
1.382,local,62.0,96.0,29.52,10.0,E,Drizzle,False,False,False,False,False,False,False,False,Day
0.447,Interstate,48.0,71.0,30.02,10.0,S,Clear,False,False,False,False,False,False,False,False,Night
0.111,local,20.0,36.0,30.52,10.0,SW,Fair,False,False,False,False,False,False,False,False,Day
0.564,local,52.0,80.0,29.47,10.0,NW,Cloudy,False,True,False,False,False,False,False,False,Night
0.112,Highway,57.2,55.0,30.06,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Day
1.662,Highway,39.9,97.0,30.1,8.0,Calm,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
0.462,large_local,82.4,66.0,29.92,10.0,SW,Clear,False,False,False,False,False,False,False,False,Night
0.097,local,48.0,86.0,30.31,10.0,Calm,Clear,False,True,False,False,True,False,False,True,Night
2.611,Highway,53.0,93.0,28.85,10.0,SW,Cloudy,False,False,False,False,False,False,False,False,Day
0.5379999999999999,large_local,53.6,67.0,30.24,10.0,E,Clear,False,False,False,False,False,False,False,False,Day
0.261,Highway,48.0,89.0,29.7,10.0,SW,Drizzle,False,False,False,False,False,False,False,False,Night
0.395,Interstate,42.0,58.0,29.43,10.0,NW,Cloudy,False,False,False,False,False,False,False,False,Night
0.345,local,28.9,72.0,29.81,10.0,Calm,Clear,False,False,False,False,True,False,False,True,Night
0.287,large_local,64.0,93.0,30.11,8.0,Calm,Clear,False,False,False,False,False,False,False,False,Day
0.253,Interstate,34.0,70.0,29.45,10.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
0.103,large_local,40.0,79.0,30.47,7.0,SE,Cloudy,False,True,False,False,False,False,False,False,Night
0.953,local,32.0,64.0,30.57,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
0.239,local,28.4,59.0,30.54,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
0.028,local,65.3,34.0,30.33,10.0,SE,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
0.113,local,30.0,60.0,29.61,10.0,NW,Windy,False,False,False,False,False,False,False,False,Day
5.820000171661378,Interstate,41.0,53.0,29.63,8.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
0.132,Interstate,58.0,32.0,30.04,7.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
1.055,local,79.0,78.0,29.91,10.0,SW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
0.068,local,81.0,45.0,29.79,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
0.074,Highway,73.0,57.0,30.34,10.0,E,Cloudy,False,False,False,False,False,False,False,False,Day
2.015,Interstate,73.0,23.0,29.43,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
0.171,local,28.0,94.0,29.99,10.0,Calm,Fair,False,False,False,False,False,False,False,True,Night
0.13,local,42.8,76.0,30.14,10.0,NW,Clear,False,False,False,False,False,False,False,True,Night
3.355,Highway,44.4,45.0,30.28,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
0.03,large_local,58.0,100.0,29.64,10.0,N,Cloudy,False,False,False,False,False,False,False,False,Day
0.418,Highway,63.0,84.0,29.66,10.0,SW,Overcast,False,False,False,False,False,False,False,False,Night
0.306,large_local,42.8,100.0,29.89,2.5,Calm,Overcast,False,False,False,False,False,False,False,True,Day
0.189,large_local,63.0,28.0,29.56,10.0,W,Windy,False,False,True,False,False,False,False,False,Day
0.318,Beltway,48.0,63.0,29.68,10.0,SW,Partly Cloudy,False,False,True,False,False,False,False,False,Day
0.247,local,57.0,57.0,29.56,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
0.363,local,48.9,100.0,30.0,0.2,Calm,Fog,False,False,False,False,False,False,False,False,Night
0.067,local,79.0,74.0,30.15,10.0,Calm,Mostly Cloudy,False,False,False,False,False,False,False,False,Day
3.804,Highway,46.0,100.0,29.82,2.0,S,Drizzle,False,False,False,False,False,False,False,False,Night
0.346,local,72.0,64.0,29.86,10.0,SE,Fair,False,False,False,False,False,False,False,False,Day
0.0,Highway,73.0,33.0,29.74,10.0,NE,Fair,False,False,False,False,False,False,False,True,Day
1.654,large_local,55.4,88.0,29.98,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
1.2,local,30.2,93.0,30.58,10.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
0.912,local,75.9,94.0,29.75,8.0,W,Drizzle,False,False,False,False,False,False,False,False,Day
0.017,large_local,73.0,69.0,29.13,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
4.386,Highway,63.0,100.0,30.15,5.0,NE,Cloudy,False,False,False,False,False,False,False,True,Day
0.041,Interstate,84.2,58.0,30.1,10.0,W,Clear,False,False,True,False,False,False,False,False,Day
0.5579999999999999,local,50.0,61.0,30.18,10.0,S,Clear,False,False,False,False,False,False,False,True,Night
0.521,large_local,68.0,64.0,30.03,10.0,SE,Overcast,False,True,False,False,False,False,False,True,Day
0.27,Interstate,73.9,64.0,30.03,10.0,SE,Partly Cloudy,False,False,False,False,False,False,True,False,Day
0.044,local,61.0,82.0,29.74,10.0,NW,Cloudy,False,False,False,False,False,False,False,True,Night
0.4320000000000001,local,45.0,69.0,30.16,10.0,SE,Cloudy,False,False,False,False,False,False,False,False,Day
3.63,large_local,63.0,94.0,29.4,3.0,N,Rain,False,False,False,False,False,False,False,False,Day
0.157,local,50.0,51.0,30.01,10.0,Calm,Partly Cloudy,False,False,False,False,False,False,False,True,Night
1.819,Highway,33.8,100.0,30.15,5.0,Calm,Mostly Cloudy,False,False,False,False,False,False,False,True,Day
1.22,local,70.0,78.0,30.03,10.0,NE,Fair,False,False,False,False,False,False,False,False,Day
0.11,Highway,37.0,87.0,29.89,10.0,Calm,Fair,False,False,False,False,False,False,False,True,Night
0.0,local,66.0,24.0,29.51,10.0,SW,Fair,False,False,False,False,False,False,False,False,Day
0.236,Beltway,31.0,75.0,30.22,10.0,N,Cloudy,False,False,True,False,False,False,False,False,Night
1.102,Highway,52.0,28.0,30.38,10.0,NE,Fair,False,False,False,False,False,False,False,False,Day
4.199999809265137,Interstate,27.0,85.0,30.21,2.0,NE,Sleet,False,False,True,False,False,False,False,False,Day
0.094,local,46.0,46.0,29.9,10.0,NW,Windy,False,False,False,False,False,False,False,False,Day
0.605,local,76.0,64.0,29.5,10.0,SE,Cloudy,False,False,False,False,False,False,False,False,Day
